,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
0,105 SWANN RD,-8793031.933,5342460.624,West,Lewiston,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,5979.0,2007-06-18,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,13.811688,4.0
1,121 CLINTON ST,-8768734.441,5291539.203,West,West Seneca,0.0,2.0,1.0,3.0,['34.5/4.8'],['0.833'],3.0,17.0,1999-03-01,34.5,4.8,0.0,0.833,0.0,0.0,0.0,0.0,True,0.4992,1.0
2,122 SOMMER ST,-8781113.837,5317063.641,West,North Tonawanda,0.0,2.0,5.0,1.0,['23/4.16'],"['2.5', '3.125']",7.0,867.0,1991-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,2.9452800000000003,5.0
3,124 ALAMEDA AVE,,,West,Amherst,0.0,2.0,13.0,4.0,['34.5/4.16'],['3.75/4.68'],15.0,4172.0,1962-09-19,34.5,4.16,0.0,3.75,4.68,0.0,0.0,0.0,True,7.1149728,13.0
4,126 STATION 126,-8782211.744,5313535.166,West,Tonawanda,0.0,2.0,4.0,2.0,['23/4.16'],['2.5'],6.0,2300.0,1974-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,3.4125728,4.0
5,127 DELAWARE ROAD,-8779274.116,5308359.039,West,Tonawanda,0.0,3.0,6.0,2.0,['23/4.16'],"['2.5', '2.5/3.125']",9.0,3777.0,1999-10-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,2.9369600000000005,5.0
6,129 BROMPTON,-8776237.93,5312231.199,West,Tonawanda,2.0,0.0,7.0,1.0,"['115/4.16', '115/4.33']",['7.5/9.375'],9.0,3222.0,2010-09-29,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,6.0722272,7.0
7,130 NIAGARA FALLS BLVD,-8774372.175,5313321.435,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,7144.0,1993-12-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,16.561643999999998,8.0
8,132 BUELL AVE,-8764384.827,5301135.333,West,Cheektowaga,0.0,2.0,1.0,1.0,['34.5/4.8'],['3.75'],3.0,16.0,1986-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,0.48,1.0
9,138 OAKWOOD,,,West,Pendleton,1.0,0.0,2.0,1.0,['115/4.8'],['3.75/4.68'],3.0,994.0,1952-09-15,115.0,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,
10,139 MARTIN RD,-8773151.361,5284005.433,West,Lackawanna,2.0,0.0,6.0,2.0,['115/4.16'],['3.75/4.687'],8.0,3105.0,1952-10-20,115.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,3.98528,4.0
11,140 MAPLE RD,-8766928.354,5310729.579,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['18/24/33.6'],10.0,8992.0,1973-09-05,115.0,13.8,0.0,18.0,24.0,33.6,0.0,0.0,True,16.917912,7.0
12,142 LEHIGH AVE,-8776313.759,5284718.262,West,Lackawanna,2.0,4.0,4.0,1.0,['115/34.5'],"['20/26.7/33.3', '22.4/29.9/37.4']",10.0,1470.0,1966-02-17,115.0,34.5,0.0,20.0,26.7,33.3,0.0,0.0,True,1.6640416000000002,4.0
13,146 WALDEN AVE.,-8764529.732,5297838.426,West,Cheektowaga,0.0,1.0,2.0,1.0,"['34.5/13.8', '34.5/4.8']","['1.5', '3.75']",3.0,156.0,1969-01-01,34.5,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,1.012044,1.0
14,154 GEORGE URBAN,-8768375.437,5299541.644,West,Cheektowaga,2.0,0.0,3.0,2.0,['115/4.16'],['3.75'],5.0,2154.0,1954-07-19,115.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.3695999999999997,3.0
15,155 ROBERTS,-8773653.386,5291672.075,West,Buffalo,1.0,0.0,3.0,1.0,['115/4.16'],['7.5'],4.0,2257.0,1975-01-01,115.0,4.16,0.0,7.5,0.0,0.0,0.0,0.0,True,1.1370944,3.0
16,160 SUMMER ST.,-8780369.915,5297447.548,West,Buffalo,0.0,6.0,6.0,2.0,['23/4.16'],"['3.75', '4.2/5.25']",12.0,1355.0,2007-04-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,3.1893888,6.0
17,161 SHORT STREET,-8782197.32,5303851.19,West,Buffalo,0.0,3.0,8.0,3.0,['23/4.16'],['3.75'],11.0,2748.0,1993-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,4.5482944,8.0
18,162 STATION 162,-8776992.536,5301204.077,West,Buffalo,0.0,2.0,3.0,1.0,['23/4.16'],"['2.5', '2.8']",5.0,7.0,1969-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,1.3325728,3.0
19,170 NEWFANE,-8760381.97,5355210.315,West,Newfane,0.0,2.0,3.0,1.0,['34.5/4.8'],['5.25'],5.0,1919.0,1972-01-01,34.5,4.8,0.0,5.25,0.0,0.0,0.0,0.0,True,2.5184159999999998,3.0
20,171 BURT,,,West,Newfane,0.0,2.0,3.0,1.0,['34.5/4.8'],['3.75/4.69/5.25'],5.0,1922.0,1994-01-01,34.5,4.8,0.0,3.75,4.69,5.25,0.0,0.0,True,3.107184,3.0
21,205 ERIE DRIVE,-8781480.575,5294483.584,West,Buffalo,0.0,3.0,2.0,4.0,['23/13.8'],['3.75'],5.0,348.0,1990-01-01,23.0,13.8,0.0,3.75,0.0,0.0,0.0,0.0,True,2.5520879999999995,2.0
22,206 TONAWANDA CREEK,-8772134.402,5320521.443,West,Amherst,2.0,0.0,6.0,1.0,['115/13.8'],"['15', '15/20/25']",8.0,6467.0,1990-02-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,15.8136,6.0
23,207 SLADE AVE,-8770119.665,5286195.339,West,West Seneca,0.0,0.0,0.0,1.0,['34.4/13.8'],['3.75/4.69'],0.0,7.0,2004-12-31,34.4,13.8,0.0,3.75,4.69,0.0,0.0,0.0,True,0.066,1.0
24,208 STATION 208,-8782936.517,5306783.232,West,Buffalo,0.0,3.0,6.0,2.0,['23/4.16'],"['3.75', '3.75/4.6']",9.0,2533.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,4.0213472,6.0
25,209 LONG ROAD,-8792468.659,5319646.856,West,Grand Island,2.0,0.0,4.0,1.0,['115/13.8'],['15'],6.0,3917.0,1990-12-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,10.714044,4.0
26,21 MAIN,-8772323.044,5306585.513,West,Amherst,0.0,4.0,12.0,3.0,"['23/4.16', '23/4.36']",['3.75/4.687'],16.0,4815.0,2007-08-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,6.4133888,10.0
27,210 MILITARY RD,-8791070.054,5326102.287,West,Niagara Falls,2.0,0.0,5.0,1.0,['115/13.8'],['20/26.7/33.3'],7.0,5835.0,1991-05-01,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.643287999999998,6.0
28,211 AYER RD,-8762430.952,5311283.094,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,4673.0,1994-01-07,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,17.353512,7.0
29,212 HARBOR FRONT,-8777356.088,5283436.094,West,Lackawanna,2.0,0.0,10.0,2.0,['115/13.8'],['15'],12.0,3249.0,2003-06-30,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,6.247955999999999,4.0
30,213 DALE RD,-8768409.434,5297288.734,West,Cheektowaga,2.0,0.0,2.0,1.0,['115/13.8'],['7.5/8.4'],4.0,61.0,1970-08-21,115.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,1.6279559999999997,2.0
31,214 STATION,-8778150.493,5311959.102,West,Tonawanda,2.0,0.0,5.0,1.0,['115/4.16'],['7.5/9.375'],7.0,1934.0,1975-01-01,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,3.5679072,5.0
32,216 LOCKPORT RD,-8796284.574,5329963.314,West,Niagara,2.0,0.0,4.0,1.0,['115/13.8'],['15/20/25'],6.0,3475.0,1992-06-29,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,11.184756,4.0
33,217 WALMORE,-8786082.015,5327484.143,,,,,,,[],[],,,,,,,,,,,,,10.441199999999998,4.0
34,22 KENMORE,-8775425.446,5305562.315,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['3.75/4.6'],20.0,7409.0,1993-01-01,23.0,4.16,0.0,3.75,4.6,0.0,0.0,0.0,True,7.7250784,10.0
35,224 SWEET HOME,-8772217.398,5315734.043,West,Amherst,2.0,0.0,8.0,1.0,['115/13.8'],"['20/26.6/33.3', '20/26/33']",10.0,4377.0,2002-05-31,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,12.830268,7.0
36,229 RENAISSANCE DR,-8762596.461,5311285.586,West,Amherst,2.0,0.0,8.0,2.0,['115/13.8'],['20/26.7/33.3'],10.0,5733.0,2007-03-28,115.0,13.8,0.0,20.0,26.7,33.3,0.0,0.0,True,14.4408,7.0
37,23 KENMORE,-8777712.433,5305637.756,West,Buffalo,0.0,4.0,12.0,4.0,['22.9/4.36'],['3.75/4.687'],16.0,5393.0,2011-05-26,22.9,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,8.2714528,11.0
38,232 OAKWOOD,-8767033.958,5325097.851,West,Pendleton,2.0,0.0,6.0,2.0,['115/13.8'],['15/20/25'],8.0,3793.0,2005-08-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,16.328400000000002,6.0
39,24 KENMORE,-8780589.226,5305647.939,West,Buffalo,0.0,4.0,11.0,4.0,['22.9/4.36'],['3.75/4.69'],15.0,4939.0,2003-10-01,22.9,4.36,0.0,3.75,4.69,0.0,0.0,0.0,True,7.8291616,10.0
40,25 STATION 25,-8783434.301,5303964.159,West,Buffalo,0.0,6.0,11.0,2.0,['23/4.16'],"['2.5', '2.5/3.125']",17.0,4271.0,2000-12-05,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.032,9.0
41,26 STATION 26,-8777053.933,5303965.961,West,Buffalo,0.0,6.0,13.0,1.0,['23/4.16'],"['3.7/5.2', '3.7/5.25']",19.0,8098.0,1977-01-01,23.0,4.16,0.0,3.7,5.2,0.0,0.0,0.0,True,10.7619616,12.0
42,27 JEWETT AVE,-8776491.704,5301977.674,West,Buffalo,0.0,10.0,10.0,4.0,['23/4.16'],['2.5'],20.0,3873.0,1964-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.5039488,10.0
43,2738 LARKINVILLE,-8777228.999,5292244.358,,,,,,,[],[],,,,,,,,,,,,,0.532356,2.0
44,28 STATION 28,-8773529.252,5301753.818,West,Buffalo,0.0,4.0,12.0,4.0,['23/4.16'],['3.75/4.69'],16.0,7233.0,2003-03-31,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,6.3592256,10.0
45,29 POTOMAC,-8781646.243,5300381.141,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['2.5'],20.0,5731.0,2010-10-07,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,7.6238656,12.0
46,30 SPILLMAN,-8778145.51,5300082.641,West,Buffalo,0.0,4.0,10.0,3.0,['23/4.16'],"['2.5/3.125', '2.5/3.13']",14.0,3083.0,1957-01-01,23.0,4.16,0.0,2.5,3.125,0.0,0.0,0.0,True,7.3077888,10.0
47,31 STATION,-8776481.049,5300134.23,West,Buffalo,0.0,4.0,11.0,1.0,['23/4.16'],"['2.5', '2.5/3', '2.5/3.13']",15.0,5142.0,1948-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.4858528,10.0
48,32 BAILEY,-8773558.837,5300104.822,West,Buffalo,0.0,4.0,10.0,4.0,['23/4.16'],['2.5'],14.0,7046.0,1951-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.2570944,10.0
49,33 STATION 33,-8782111.022,5297554.993,West,Buffalo,0.0,4.0,10.0,4.0,['23/4.36'],['3.75/4.68'],14.0,5592.0,2006-07-28,23.0,4.36,0.0,3.75,4.68,0.0,0.0,0.0,True,4.0088672,9.0
50,34 BEST ST.,-8777758.902,5297316.813,West,Buffalo,0.0,8.0,10.0,3.0,['23/4.16'],['2.5'],18.0,4637.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.0505088,10.0
51,35 WALDEN,-8775871.328,5297288.206,West,Buffalo,0.0,4.0,11.0,4.0,['23/4.16'],['2.5'],15.0,4920.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.3471584,11.0
52,36 SUMNER PL,-8773228.098,5297053.417,West,Buffalo,0.0,4.0,11.0,4.0,['23/4.16'],['3.75/4.7'],15.0,7453.0,2001-06-01,23.0,4.16,0.0,3.75,4.7,0.0,0.0,0.0,True,5.3483872,11.0
53,37 HUDSON AVE,-8781348.909,5296445.093,West,Buffalo,0.0,7.0,11.0,4.0,['23/4.16'],['2.5'],18.0,5148.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,6.24,11.0
54,38 SPRING,-8778474.749,5295328.143,West,Buffalo,0.0,8.0,11.0,4.0,['23/4.16'],['2.5'],19.0,2903.0,1930-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.2846144,11.0
55,39 WILLIAM,-8776396.128,5294541.13,West,Buffalo,0.0,4.0,12.0,4.0,['23/4.16'],['3.75/4.69'],16.0,5764.0,1998-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,5.9155616,12.0
56,40 WILLIAM STA,-8773740.416,5294496.193,West,Buffalo,0.0,4.0,15.0,4.0,['23/4.16'],['3.75/4.8'],19.0,5144.0,1978-01-01,23.0,4.16,0.0,3.75,4.8,0.0,0.0,0.0,True,11.2445216,15.0
57,41 STATION 41,-8779293.291,5292893.326,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['2.5'],20.0,2044.0,1929-12-13,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,4.0573728000000004,11.0
58,42 OHIO,-8779443.506,5290736.547,West,Buffalo,0.0,3.0,5.0,3.0,['23/4.16'],['2.5/3'],8.0,164.0,1940-01-03,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,,
59,43 SENECA ST,-8773981.301,5291001.063,West,Buffalo,0.0,4.0,10.0,2.0,"['22.9/4.36', '23/4.16']",['3.75/4.687'],14.0,4559.0,2012-04-20,22.9,4.36,0.0,3.75,4.687,0.0,0.0,0.0,True,6.3536928,9.0
60,44 SOUTH PARK,-8774578.674,5288641.674,West,Buffalo,0.0,4.0,11.0,2.0,['23/4.16'],"['3.75', '3.75/4.687', '3.75/4.69']",15.0,7823.0,1997-01-01,23.0,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,9.5457856,11.0
61,45 STATION 45,-8780761.989,5303142.194,West,Buffalo,0.0,4.0,8.0,1.0,['23/4.16'],"['2.5', '2.5/3.13']",12.0,3485.0,1956-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,5.2027872,8.0
62,46 STATION 46,-8774592.915,5286706.811,West,Buffalo,0.0,4.0,11.0,2.0,"['22.9/4.16', '23/4.16']",['3.75/4.7'],15.0,6347.0,2004-04-19,22.9,4.16,0.0,3.75,4.7,0.0,0.0,0.0,True,6.8460288,10.0
63,47 STATION 47,-8786367.449,5307700.659,West,Tonawanda,0.0,3.0,8.0,3.0,['23/4.36'],['3.75/4.7'],11.0,1128.0,2006-01-01,23.0,4.36,0.0,3.75,4.7,0.0,0.0,0.0,True,3.71488,6.0
64,48 GELSTON,-8782958.92,5299325.464,West,Buffalo,0.0,4.0,10.0,2.0,['23/4.16'],"['3.75/4.687', '3.75/4.69']",14.0,2957.0,1996-01-01,23.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,4.96723136,11.0
65,49 BEST,-8779374.328,5297346.595,West,Buffalo,0.0,8.0,12.0,4.0,['23/4.16'],['3.75/4.69'],20.0,2020.0,1993-01-01,23.0,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,5.65344,11.0
66,51 ELK ST,-8775426.31,5291595.783,West,Buffalo,0.0,4.0,8.0,4.0,['23/4.16'],['2.5/3'],12.0,2011.0,1939-01-01,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,3.7675456,8.0
67,52 HERTEL,-8780509.885,5304067.292,West,Buffalo,0.0,4.0,12.0,1.0,['23/4.16'],"['2.5/3', '3.75/4.687']",16.0,2127.0,2010-11-03,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,4.68,10.0
68,53 BAILEY,-8773533.56,5303187.974,West,Buffalo,0.0,3.0,6.0,3.0,['23/4.16'],['2.5/3.13'],9.0,5201.0,1954-01-01,23.0,4.16,0.0,2.5,3.13,0.0,0.0,0.0,True,3.2309472,5.0
69,54 MAIN,-8767849.115,5305941.134,West,Amherst,2.0,0.0,11.0,1.0,['115/4.16'],"['7.5/9.375', '7.5/9.4']",13.0,3344.0,1970-07-29,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,5.3885728,9.0
70,55 ELECTRIC AVE,-8775212.073,5282414.915,,,,,,,[],[],,,,,,,,,,,,,2.5722528000000002,5.0
71,56 ELECTRIC AVE,,,West,Lackawanna,2.0,0.0,7.0,2.0,['115/4.16'],['3.75/4.687'],9.0,2129.0,1949-05-07,115.0,4.16,0.0,3.75,4.687,0.0,0.0,0.0,True,,
72,56 WILLOWDALE & BARTON,-8781670.955,5309442.094,West,Tonawanda,0.0,5.0,8.0,1.0,['23/4.16'],"['2.5/3.1', '2.5/3.13']",13.0,3597.0,1956-10-10,23.0,4.16,0.0,2.5,3.1,0.0,0.0,0.0,True,5.6825600000000005,8.0
73,57 COLVIN,-8777886.559,5310118.937,West,Tonawanda,0.0,3.0,8.0,3.0,['23/4.16'],['3.75/4.2/4.7/5'],11.0,4008.0,1973-01-01,23.0,4.16,0.0,3.75,4.2,4.7,5.0,0.0,True,5.57024,7.0
74,58 HARLEM RD,-8770068.659,5306638.932,West,Amherst,0.0,2.0,8.0,1.0,"['34.4/4.36', '34.5/4.16']","['3.75/4.69', '3.75/4.69/5.25', '4.2/5.25']",10.0,4139.0,2006-01-01,34.4,4.36,0.0,4.2,5.25,0.0,0.0,0.0,True,6.968,7.0
75,59 PERRY,,,West,Buffalo,0.0,3.0,6.0,2.0,['23/4.16'],"['2.5/3', '2.5/3.13']",9.0,1057.0,1957-01-01,23.0,4.16,0.0,2.5,3.0,0.0,0.0,0.0,True,,
76,60 HAUSAUER RD,-8766934.685,5315022.969,West,Amherst,2.0,0.0,7.0,1.0,['115/13.8'],"['12/16/20', '12/16/22.4']",9.0,5914.0,1969-11-13,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,14.058,7.0
77,61 STATION 61,-8768574.543,5302854.839,West,Cheektowaga,2.0,0.0,6.0,1.0,['115/4.16'],"['7.5/9.375', '7.5/9.4']",8.0,5751.0,1957-09-26,115.0,4.16,0.0,7.5,9.375,0.0,0.0,0.0,True,6.1983584,6.0
78,63 HIGHLAND,-8776991.491,5308042.722,West,Tonawanda,0.0,3.0,5.0,1.0,"['22.9/4.36', '23/4.16']","['3.75', '4.2/5.25']",8.0,3463.0,2010-04-30,22.9,4.36,0.0,4.2,5.25,0.0,0.0,0.0,True,5.5480672,5.0
79,64 STATION 64,-8788709.022,5315457.061,West,Grand Island,2.0,0.0,6.0,1.0,['113/13.8'],"['12', '12/16/22.4']",8.0,5121.0,1972-05-23,113.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,15.721331999999997,6.0
80,66 UNION RD & MECHANIC ST,-8767013.572,5296065.523,West,Cheektowaga,0.0,1.0,1.0,1.0,['34.5/4.8'],['1.5'],2.0,230.0,1959-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.006384,1.0
81,67 STATION 67,-8762358.564,5306743.969,West,Amherst,0.0,2.0,2.0,2.0,['34.5/4.16'],['3.75'],4.0,902.0,1958-01-20,34.5,4.16,0.0,3.75,0.0,0.0,0.0,0.0,True,1.4005056000000002,2.0
82,68 ELMWOOD,-8780582.083,5298553.171,West,Buffalo,0.0,4.0,10.0,4.0,['23/4.16'],['2.5'],14.0,6180.0,1967-01-01,23.0,4.16,0.0,2.5,0.0,0.0,0.0,0.0,True,5.9515872000000005,9.0
83,71 S. NEWFANE,-8758700.765,5347311.323,West,Newfane,0.0,2.0,2.0,1.0,['34.4/5.04'],['3.75/4.688'],4.0,1344.0,2010-03-05,34.4,5.04,0.0,3.75,4.688,0.0,0.0,0.0,True,2.326416,2.0
84,74 MILITARY,-8781157.846,5312255.859,West,Tonawanda,0.0,7.0,6.0,1.0,['23/4.16'],"['2.5', '2.5/3.12', '3']",13.0,3787.0,2003-12-30,23.0,4.16,0.0,2.5,3.12,0.0,0.0,0.0,True,4.82976,6.0
85,76 SHAWNEE,-8776575.848,5333708.635,West,Cambria,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,5813.0,1975-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,12.482975999999999,5.0
86,77 EAST AVE,-8779835.372,5315069.503,West,Tonawanda,0.0,4.0,5.0,2.0,['23/4.16'],['4.725'],9.0,2340.0,1998-07-01,23.0,4.16,0.0,4.725,0.0,0.0,0.0,0.0,True,2.85792,5.0
87,78 FASSETT ST.,-8779056.736,5317470.585,West,North Tonawanda,2.0,7.0,8.0,1.0,"['115/23', '115/23/4.16']","['15', '15/20', '25', '30/40/50', '7.5']",17.0,5260.0,1968-09-05,115.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,True,8.12864,8.0
