,substation,x,y,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger,total_rated_MW,sum_feeders
371,N. LAWRENCE,-8312914.658,5589573.759,Central,Lawrence,0.0,1.0,1.0,1.0,['34.5/4.8'],['2.5'],2.0,675.0,2004-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
372,N. OLEAN,,,West,Olean,0.0,2.0,2.0,3.0,['34.5/4.8'],['1.25'],4.0,1212.0,1959-01-01,34.5,4.8,0.0,1.25,0.0,0.0,0.0,0.0,True,,
373,NASSAU,-8194431.635,5238457.384,East,Nassau,0.0,2.0,3.0,1.0,['34.5/4.8'],['5/7'],5.0,2286.0,1993-01-01,34.5,4.8,0.0,5.0,7.0,0.0,0.0,0.0,True,,
374,NEW FRANKHAUSER  STATION,,,,,,,,,[],[],,,,,,,,,,,,,16.218443999999998,7.0
375,NEW HAVEN,-8495339.781,5384517.312,Central,New Haven,2.0,0.0,2.0,1.0,['115/13.8'],['7.5/9.375'],4.0,3811.0,1997-01-01,115.0,13.8,0.0,7.5,9.375,0.0,0.0,0.0,True,,
376,NEW KRUMKILL,-8218230.937,5260536.468,East,Albany,2.0,0.0,4.0,1.0,"['113/13.8', '13.2/4.16']","['18/24/30', '7.5/9.4/10.5']",6.0,7932.0,1977-01-01,113.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,
377,NEW WHITESVILLE,,,West,Independence,0.0,1.0,1.0,1.0,['34.5/4.8'],['1.5'],2.0,689.0,1993-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,,
378,NEWARK ST,-8204701.607,5276667.436,East,Cohoes,0.0,2.0,4.0,2.0,['34.5/13.8'],['10'],6.0,8301.0,1995-01-01,34.5,13.8,0.0,10.0,0.0,0.0,0.0,0.0,True,,
379,NEWTON FALLS,-8348223.437,5498388.273,Central,Clifton,0.0,1.0,1.0,1.0,['34.5/2.4'],['2.5'],2.0,136.0,2003-05-01,34.5,2.4,0.0,2.5,0.0,0.0,0.0,0.0,True,,
380,NEWTONVILLE,-8211234.441,5271637.723,East,Colonie,0.0,2.0,6.0,1.0,"['34.5/13.8', '34.5/4.16']","['5/5.6', '5/6.25']",8.0,1554.0,1957-05-25,34.5,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
381,NICHOLVILLE,-8309350.973,5573759.055,Central,Lawrence,1.0,2.0,2.0,1.0,"['115/34.5', '34.5/4.8']","['1.25', '10/12.5']",5.0,2335.0,1954-03-01,115.0,34.5,0.0,10.0,12.5,0.0,0.0,0.0,True,,
382,NILES,-8509216.598,5289949.338,Central,Skaneateles,0.0,1.0,1.0,1.0,['34.4/13.8'],"['16.8/22.4/28', '3.75/4.69/5.25']",2.0,1386.0,1974-01-01,34.4,13.8,0.0,3.75,4.69,5.25,0.0,0.0,True,1.7776439999999998,1.0
383,NORTH ASHFORD,-8760984.797,5232030.771,West,Ashford,0.0,2.0,1.0,1.0,['34.5/4.8'],['1.5'],3.0,227.0,1991-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,0.300816,1.0
384,NORTH BOMBAY,,,Central,Bombay,0.0,1.0,2.0,1.0,['34.5/13.8'],['2.5'],3.0,170.0,1975-01-01,34.5,13.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
385,NORTH CARTHAGE,-8414132.296,5463658.898,Central,Wilna,3.0,2.0,3.0,1.0,"['115/13.8', '115/23']","['12/22.4', '15/20/25']",8.0,6590.0,1992-01-01,115.0,13.8,0.0,12.0,22.4,0.0,0.0,0.0,True,,
386,NORTH COLLINS,-8788200.46,5250552.156,West,Brant,0.0,2.0,2.0,1.0,['34.5/4.8'],['2.5'],4.0,1516.0,1964-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,1.547184,2.0
387,NORTH CREEK,-8234501.171,5416343.71,East,Johnsburg,1.0,2.0,2.0,1.0,"['115/13.8/30', '115/34.5']","['10/12.5', '30/40/50']",5.0,3373.0,1987-03-01,115.0,13.8,30.0,10.0,12.5,0.0,0.0,0.0,True,,
388,NORTH GOVERNEUR,-8402092.168,5518930.074,Central,Gouverneur,2.0,0.0,3.0,1.0,['115/13.8/7.9'],['12/16/20'],5.0,5283.0,1971-09-10,115.0,13.8,7.9,12.0,16.0,20.0,0.0,0.0,True,,
389,NORTH TROY,-8197258.281,5279617.765,East,Brunswick,6.0,5.0,4.0,1.0,"['115/13.8', '115/34.5', '115/34.5/13.8']","['15/20/25', '30/40', '30/40/50']",15.0,6150.0,2007-02-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
390,NORTHVILLE,-8258562.466,5346797.989,East,Northampton,0.0,2.0,2.0,1.0,"['69/13.8', '69/23']",['10/12.5'],4.0,4196.0,1992-01-01,69.0,13.8,0.0,10.0,12.5,0.0,0.0,0.0,True,,
391,NORWOOD,-8349371.793,5581357.671,Central,Potsdam,0.0,1.0,2.0,3.0,['23/4.8'],['1.25'],3.0,1571.0,1961-01-01,23.0,4.8,0.0,1.25,0.0,0.0,0.0,0.0,True,,
392,OAK HILL,,,West,Ellicott,2.0,0.0,1.0,1.0,['34.5/4.8'],['2.5'],3.0,224.0,1996-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
393,OAKFIELD STATION,-8713907.629,5321538.084,West,Oakfield,1.0,4.0,3.0,1.0,"['115/34.5', '34.5/4.8']","['28/37.3/46.7', '3.75']",8.0,1585.0,1975-01-01,115.0,34.5,0.0,28.0,37.3,46.7,0.0,0.0,True,3.2352,3.0
394,OATHOUT,-8212800.41,5272223.951,East,Colonie,0.0,1.0,2.0,1.0,['34.4/13.8/7.9'],['10.0/12.5'],3.0,1909.0,1998-01-01,34.4,13.8,7.9,10.0,12.5,0.0,0.0,0.0,True,,
395,OGDENBROOK,-8202183.28,5358980.429,East,Queensbury,2.0,0.0,4.0,1.0,['115/13.8/7.9'],['13.4/17.9/22.4'],6.0,6027.0,1975-02-18,115.0,13.8,7.9,13.4,17.9,22.4,0.0,0.0,True,,
396,OGDENSBURG,-8404002.225,5573223.87,Central,Ogdensburg,2.0,0.0,4.0,1.0,"['23/0.48', '23/5']","['0.5', '1.5']",6.0,5907.0,1988-12-01,23.0,5.0,0.0,1.5,0.0,0.0,0.0,0.0,True,,
397,OLD FORGE,-8346735.766,5419676.592,Central,Webb,0.0,2.0,4.0,3.0,['46/4.8'],"['1.25', '2']",6.0,2719.0,1992-01-01,46.0,4.8,0.0,1.25,0.0,0.0,0.0,0.0,True,,
398,ONEIDA,-8419245.898,5327521.349,Central,Verona,7.0,0.0,7.0,1.0,['115/13.8'],"['12/16/22.4', '15/20/25']",14.0,10374.0,1968-08-04,115.0,13.8,0.0,12.0,16.0,22.4,0.0,0.0,True,,
399,ORANGEVILLE STATION,-8711140.552,5277349.515,West,Orangeville,0.0,1.0,1.0,1.0,['34.5/4.8/34.5'],['2.5'],2.0,711.0,1997-01-01,34.5,4.8,34.5,2.5,0.0,0.0,0.0,0.0,False,1.198416,1.0
400,OTTEN,-8174468.686,5411734.255,East,Dresden,1.0,0.0,1.0,1.0,['115/4.8'],['3.75/4.68'],2.0,610.0,1954-06-15,115.0,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,
401,Ohio Childs (MITS),-8779420.462,5290771.237,,,,,,,[],[],,,,,,,,,,,,,2.081244,2.0
402,PALOMA,-8516692.705,5379334.824,Central,Oswego,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20'],6.0,10154.0,1968-01-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
403,PANAMA,,,West,Harmony,0.0,2.0,1.0,1.0,['34.5/4.8'],['1.5'],3.0,642.0,2002-06-19,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,,
404,PARISH,-8475519.302,5373544.171,Central,Parish,0.0,1.0,1.0,1.0,['34.5/4.8'],['3'],2.0,529.0,1950-01-01,34.5,4.8,0.0,3.0,0.0,0.0,0.0,0.0,True,,
405,PARISHVILLE,-8329508.186,5563507.261,Central,Parishville,1.0,0.0,1.0,2.0,['4.8/2.4'],['0.5'],2.0,653.0,1949-01-01,4.8,2.4,0.0,0.5,0.0,0.0,0.0,0.0,True,,
406,PARK STREET,-8476207.882,5321610.987,Central,Syracuse,0.0,1.0,4.0,1.0,['34.5/4.16'],['5/6.25'],5.0,3663.0,1956-01-01,34.5,4.16,0.0,5.0,6.25,0.0,0.0,0.0,True,3.7856,4.0
407,PARTRIDGE ST.,-8212904.431,5261602.575,East,Albany,0.0,5.0,10.0,1.0,['34.5/13.8'],['3.75/4.69'],15.0,7155.0,2003-02-24,34.5,13.8,0.0,3.75,4.69,0.0,0.0,0.0,True,,
408,PATROON,-8216367.938,5264747.778,East,Albany,2.0,5.0,4.0,1.0,"['115/13.8', '115/34.5/13.8']","['15/20/25', '30/40/50']",11.0,3864.0,2004-12-22,115.0,34.5,13.8,30.0,40.0,50.0,0.0,0.0,True,,
409,PAUL SMITHS,-8264492.981,5532224.44,Central,Brighton,0.0,1.0,3.0,1.0,['46/4.8'],['2.5'],4.0,343.0,2004-03-01,46.0,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
410,PEAT STREET,-8473403.671,5319845.953,Central,Syracuse,2.0,0.0,4.0,1.0,['115/13.8'],['12/16/20/22.4'],6.0,8314.0,1971-01-01,115.0,13.8,0.0,12.0,16.0,20.0,22.4,0.0,True,12.7776,4.0
411,PEBBLE HILL,-8467760.208,5315551.566,Central,Dewitt,1.0,3.0,4.0,1.0,"['115/13.8/7.9', '115/34.5']","['20/26.6/33.3', '20/26.7/33.3']",8.0,5760.0,1993-05-01,115.0,13.8,7.9,20.0,26.7,33.3,0.0,0.0,True,13.419912,4.0
412,PERRY ST,-8777288.226,5292306.748,,,,,,,[],[],,,,,,,,,,,,,2.6527072,5.0
413,PERRYSBURG,-8799419.017,5238780.615,West,Perrysburg,0.0,1.0,1.0,1.0,['34.4/5.04/13.'],['5'],2.0,887.0,1993-01-01,34.4,5.04,13.0,5.0,0.0,0.0,0.0,0.0,True,1.5048,1.0
414,PERRYVILLE,-8441095.53,5313733.422,Central,Sullivan,0.0,1.0,1.0,1.0,['34.5/4.16'],['3'],2.0,230.0,1994-01-01,34.5,4.16,0.0,3.0,0.0,0.0,0.0,0.0,True,0.40239680000000005,1.0
415,PETERBORO,-8432488.522,5326450.595,Central,Lennox,1.0,0.0,8.0,2.0,['115/13.8'],['15/20/25'],9.0,8034.0,1991-09-05,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
416,PETROLIA,,,West,Scio,0.0,1.0,1.0,3.0,['34.5/4.8'],['1'],2.0,738.0,1971-01-01,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,,
417,PHOENIX,-8493787.052,5347090.383,Central,Schroeppel,0.0,1.0,3.0,1.0,['34.5/4.8'],['5/6.25/7'],4.0,2231.0,1969-01-01,34.5,4.8,0.0,5.0,6.25,7.0,0.0,0.0,True,3.1071839999999997,2.0
418,PIERCEFIELD,-8300608.398,5501525.915,Central,Piercefield,0.0,1.0,1.0,3.0,['46/4.8'],['0.33'],2.0,412.0,1973-01-01,46.0,4.8,0.0,0.33,0.0,0.0,0.0,0.0,True,,
419,PINE GROVE,-8471042.859,5334890.121,Central,Cicero,2.0,0.0,7.0,1.0,['115/13.8'],"['18/24/30', '20/26.7/33.3']",9.0,12143.0,1991-01-01,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,27.156755999999998,7.0
420,PINEBUSH,-8224928.623,5266630.056,East,Guilderland,2.0,0.0,6.0,1.0,['115/13.8'],"['12', '15']",8.0,6760.0,1989-01-01,115.0,13.8,0.0,12.0,0.0,0.0,0.0,0.0,True,,
421,PLEASANT,-8376882.263,5325272.032,Central,Utica,0.0,2.0,6.0,2.0,['43.8/4.36'],['5/6.25'],8.0,5237.0,1961-01-01,43.8,4.36,0.0,5.0,6.25,0.0,0.0,0.0,True,,
422,POLAND,,,West,Poland,0.0,1.0,2.0,1.0,['34.5/4.8'],['2.5'],3.0,2557.0,1972-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
423,POLAND SUBSTATION,,,Central,Russia,0.0,1.0,2.0,1.0,['46/13.8'],['10'],3.0,1722.0,1996-01-01,46.0,13.8,0.0,10.0,0.0,0.0,0.0,0.0,True,,
424,POMPEY,-8463637.847,5300181.793,Central,Pompey,0.0,1.0,2.0,3.0,['34.5/4.16'],['0.83'],3.0,776.0,1966-01-01,34.5,4.16,0.0,0.83,0.0,0.0,0.0,0.0,True,1.3034528,2.0
425,PORT HENRY,-8179672.19,5474007.452,East,Moriah,1.0,0.0,2.0,1.0,['113/13.8'],['7.5/8.4'],3.0,3858.0,1966-11-06,113.0,13.8,0.0,7.5,8.4,0.0,0.0,0.0,True,,
426,PORT LEYDEN,-8388018.195,5400411.734,Central,Leyden,0.0,1.0,1.0,3.0,['23/4.8'],['0.83'],2.0,960.0,1959-01-01,23.0,4.8,0.0,0.83,0.0,0.0,0.0,0.0,True,,
427,PORTAGE ST.,-8452010.989,5461171.432,Central,Watertown,0.0,1.0,3.0,1.0,['23/4.8'],['0.5'],4.0,2001.0,2001-04-26,23.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
428,POTTERSVILLE,-8217816.365,5423437.447,East,Chester,0.0,1.0,1.0,1.0,['34.4/7.5/8.4'],['7.5'],2.0,1221.0,2012-06-01,34.4,7.5,8.4,7.5,0.0,0.0,0.0,0.0,True,,
429,PRICE CORNERS (DIST.) SUB,,,West,Randolph,0.0,3.0,1.0,3.0,['34.5/13.8'],['0.5'],4.0,63.0,2005-06-11,34.5,13.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
430,PROSPECT HILL,-8202002.536,5282112.203,East,Waterford,1.0,0.0,2.0,1.0,['115/13.8'],['12//16/20/24'],3.0,4405.0,1974-01-01,115.0,13.8,0.0,12.0,,16.0,20.0,24.0,True,,
431,QUAIL HOLLOW,-8211605.734,5250646.877,East,Bethlehem,0.0,1.0,1.0,1.0,['34.5/4.8'],['2.5'],2.0,216.0,1991-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
432,QUEENSBURY,-8200297.605,5363074.715,East,Queensbury,3.0,4.0,8.0,1.0,"['115/13.8', '115/34.5/4.8']","['12/16/20', '30']",15.0,7468.0,1969-05-01,115.0,13.8,0.0,12.0,16.0,20.0,0.0,0.0,True,,
433,RANDALL RD,-8228744.437,5308410.84,East,Ballston,0.0,1.0,2.0,1.0,"['13.2/4.8', '34.5/13.2']","['2.5', '5']",3.0,1016.0,2009-10-01,34.5,13.2,0.0,5.0,0.0,0.0,0.0,0.0,True,,
434,RAQUETTE LAKE,-8310533.675,5435904.533,Central,Long Lake,0.0,1.0,1.0,3.0,['46/4.8'],['0.33'],2.0,540.0,1959-01-01,46.0,4.8,0.0,0.33,0.0,0.0,0.0,0.0,True,,
435,RAYBROOK ES,-8246852.749,5512209.064,Central,North Elba,1.0,0.0,2.0,1.0,['115/13.8'],['15/20/25'],3.0,1817.0,1992-01-01,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
436,RENSSELAER,-8209131.442,5256665.557,East,Rensselaer,0.0,4.0,2.0,1.0,['34.5/13.8'],['12.5'],6.0,3730.0,1988-01-01,34.5,13.8,0.0,12.5,0.0,0.0,0.0,0.0,True,,
437,REYNOLDS RD,-8202848.771,5262285.536,East,North Greenbush,7.0,0.0,8.0,1.0,"['115/13.8', '345/115/13.2']","['15/20/25', '400/448']",15.0,5294.0,1988-08-19,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,1.9360439999999997,1.0
438,RICHMOND,-8630957.755,5280060.708,West,Richmond,0.0,1.0,3.0,1.0,['34.5/13.8'],['7.5/9.38/10.5'],4.0,3371.0,1992-01-01,34.5,13.8,0.0,7.5,9.38,10.5,0.0,0.0,True,3.9556439999999995,3.0
439,RIDGE ROAD,-8445778.933,5310854.658,Central,Cazenovia,0.0,1.0,1.0,3.0,['34.5/4.8'],['1'],2.0,893.0,1947-05-27,34.5,4.8,0.0,1.0,0.0,0.0,0.0,0.0,True,1.248,1.0
440,RIFLE RANGE,-8221895.774,5269804.082,East,Colonie,0.0,1.0,2.0,1.0,['34.5/13.2'],['2.5'],3.0,391.0,2006-02-01,34.5,13.2,0.0,2.5,0.0,0.0,0.0,0.0,True,,
441,RIPARIUS,-8226679.292,5413574.159,East,Johnsburg,0.0,1.0,1.0,1.0,['34.5/4.8'],['3.75/4.68'],2.0,519.0,1959-10-16,34.5,4.8,0.0,3.75,4.68,0.0,0.0,0.0,True,,
442,RIPLEY,,,West,Ripley,0.0,2.0,2.0,1.0,['34.5/4.8'],['3.75'],4.0,1270.0,2003-01-01,34.5,4.8,0.0,3.75,0.0,0.0,0.0,0.0,True,,
443,RIVER RD,-8200670.799,5293361.984,East,Schaghticoke,0.0,1.0,1.0,1.0,['34.5/4.8'],['2.5'],2.0,3.0,1949-01-01,34.5,4.8,0.0,2.5,0.0,0.0,0.0,0.0,True,,
444,RIVERSIDE,-8208688.694,5260620.514,East,Albany,4.0,9.0,10.0,1.0,"['115/13.8', '115/34.5/13.8']","['24/32/40', '40/53.3/66.6', '40/53/66/74.6']",23.0,3937.0,2001-07-01,115.0,34.5,13.8,40.0,53.3,66.6,0.0,0.0,True,15.312131999999998,7.0
445,RIVERVIEW,-8224345.74,5556923.496,Central,Black Brook,0.0,1.0,1.0,1.0,['46/4.8'],['0.5'],2.0,269.0,1949-01-01,46.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
446,ROCK CITY,-8334162.607,5316788.452,Central,Little Falls,0.0,1.0,4.0,1.0,['46/4.16'],['5.6/7'],5.0,1736.0,1966-01-01,46.0,4.16,0.0,5.6,7.0,0.0,0.0,0.0,True,,
447,ROCK CITY FALLS,-8228132.295,5321282.029,East,Milton,0.0,1.0,1.0,1.0,['34.5/4.8/4.16'],['3.75'],2.0,592.0,1993-01-01,34.5,4.8,4.16,3.75,0.0,0.0,0.0,0.0,True,,
448,ROCK CUT,-8475267.409,5313653.415,Central,Syracuse,2.0,0.0,4.0,1.0,['115/13.8'],['20/26/33'],6.0,7550.0,1973-01-01,115.0,13.8,0.0,20.0,26.0,33.0,0.0,0.0,True,18.977244,6.0
449,ROME,-8399399.358,5343221.332,Central,Rome,4.0,0.0,8.0,2.0,['115/13.8'],['18/24/30'],12.0,11048.0,2004-07-08,115.0,13.8,0.0,18.0,24.0,30.0,0.0,0.0,True,,
450,ROSA ROAD,,,East,Niskayuna,2.0,4.0,3.0,1.0,"['115/13.8', '115/34.5/4.8']","['15/20/25', '30/40/50']",9.0,7749.0,1960-07-12,115.0,13.8,0.0,15.0,20.0,25.0,0.0,0.0,True,,
451,ROTTERDAM,-8237362.423,5285953.634,East,Rotterdam,16.0,7.0,4.0,1.0,"['115/13.8', '115/34.5', '115/34.5/13.8', '115/69/13.8', '230/115/13.8']","['15/20/25', '20/26.7/33.3', '267/298', '33.6/44.8/56', '349', '6.7/8.9']",27.0,6057.0,1947-09-18,115.0,34.5,0.0,20.0,26.7,33.3,0.0,0.0,True,,
452,ROYALTON,-8742869.858,5334184.024,West,Royalton,0.0,1.0,2.0,2.0,['34.5/4.8'],['1.5'],3.0,1272.0,1972-01-01,34.5,4.8,0.0,1.5,0.0,0.0,0.0,0.0,True,2.0976,2.0
453,RUSSELL RD,-8214176.618,5264003.033,East,Albany,0.0,1.0,1.0,1.0,['34.5/13.2'],['5'],2.0,157.0,1994-01-01,34.5,13.2,0.0,5.0,0.0,0.0,0.0,0.0,True,,
454,RUTH ROAD,-8223621.899,5273602.856,East,Colonie,2.0,0.0,5.0,1.0,['115/13.8'],['20.2/26.9/33.6'],7.0,6051.0,1971-01-01,115.0,13.8,0.0,20.2,26.9,33.6,0.0,0.0,True,,
455,S. PHILADELPHIA,-8428928.027,5487675.186,Central,Philadelphia,0.0,3.0,1.0,2.0,['23/4.8'],['0.5'],4.0,607.0,1955-01-01,23.0,4.8,0.0,0.5,0.0,0.0,0.0,0.0,True,,
456,SALISBURY ES,-8331729.518,5322000.294,Central,Manheim,2.0,0.0,4.0,1.0,['115/13.8'],"['5/5.6', '7.5/9.375']",6.0,5212.0,1979-05-09,115.0,13.8,0.0,5.0,5.6,0.0,0.0,0.0,True,,
457,SAND CREEK ROAD,-8218153.017,5271148.209,East,Colonie,2.0,0.0,3.0,1.0,['115/13.8'],['15'],5.0,2311.0,1992-01-01,115.0,13.8,0.0,15.0,0.0,0.0,0.0,0.0,True,,
458,SAND ROAD,-8476048.201,5328604.214,,,,,,,[],[],,,,,,,,,,,,,1.1204128000000002,2.0
459,SAND ROAD #2,-8476035.777,5328625.687,,,,,,,[],[],,,,,,,,,,,,,1.0692000000000002,1.0
460,SAND ROAD & SAND ROAD#2,,,Central,Salina,0.0,2.0,4.0,1.0,['34.5/4.16'],['3.75/4.69'],6.0,603.0,1953-01-01,34.5,4.16,0.0,3.75,4.69,0.0,0.0,0.0,True,,
461,SANDY CREEK 66,-8470210.119,5410466.204,Central,Sandy Creek,0.0,1.0,2.0,1.0,['34.5/13.8'],['5/6.25'],3.0,3891.0,1969-01-01,34.5,13.8,0.0,5.0,6.25,0.0,0.0,0.0,True,,
462,SARATOGA,-8212555.186,5325667.691,East,Saratoga Springs,0.0,2.0,4.0,1.0,"['230/23', '34.5/13.8', '34.5/4.16']","['5/6.3', '60/80/100', '7.5/9.375/10.5']",6.0,3037.0,1937-07-14,34.5,13.8,0.0,7.5,9.375,10.5,0.0,0.0,True,,
463,SCHENEVUS,-8328822.734,5242971.497,East,Maryland,0.0,1.0,1.0,3.0,['23/4.8'],['0.667'],2.0,1156.0,1947-01-01,23.0,4.8,0.0,0.667,0.0,0.0,0.0,0.0,True,,
464,SCHODACK,-8205844.584,5243547.038,East,Schodack,2.0,0.0,3.0,1.0,['115/13.8'],['12/16/20/22.4'],5.0,3508.0,2008-01-01,115.0,13.8,0.0,12.0,16.0,20.0,22.4,0.0,True,,
465,SCHOHARIE,-8271497.778,5262368.009,East,Schoharie,2.0,0.0,2.0,1.0,['69/13.8'],['7.5/9.375/10.5'],4.0,2766.0,1971-01-02,69.0,13.8,0.0,7.5,9.375,10.5,0.0,0.0,True,,
466,SCHROON LAKE,-8211565.34,5440389.695,East,Schroon,0.0,1.0,1.0,1.0,['34.4/13.8'],['5/5.6/6.25/7'],2.0,2600.0,1977-11-01,34.4,13.8,0.0,5.0,5.6,6.25,7.0,0.0,True,,
