substation,dist_feeders
105 SWANN RD,2
121 CLINTON ST,1
122 SOMMER ST,2
124 ALAMEDA AVE,1
126 STATION 126,1
127 DELAWARE ROAD,2
129 BROMPTON,2
130 NIAGARA FALLS BLVD,1
132 BUELL AVE,1
138 OAKWOOD,1
139 MARTIN RD,1
140 MAPLE RD,1
142 LEHIGH AVE,2
146 WALDEN AVE.,2
154 GEORGE URBAN,1
155 ROBERTS,1
160 SUMMER ST.,2
161 SHORT STREET,1
162 STATION 162,2
170 NEWFANE,1
171 BURT,1
205 ERIE DRIVE,1
206 TONAWANDA CREEK,2
207 SLADE AVE,1
208 STATION 208,2
209 LONG ROAD,1
21 MAIN,2
210 MILITARY RD,1
211 AYER RD,1
212 HARBOR FRONT,1
213 DALE RD,1
214 STATION,1
216 LOCKPORT RD,1
22 KENMORE,1
224 SWEET HOME,2
229 RENAISSANCE DR,1
23 KENMORE,1
232 OAKWOOD,1
24 KENMORE,1
25 STATION 25,3
26 STATION 26,2
27 JEWETT AVE,1
28 STATION 28,1
29 POTOMAC,1
30 SPILLMAN,2
31 STATION 31,3
32 BAILEY,1
33 STATION 33,1
34 BEST ST.,2
35 WALDEN,1
36 SUMNER PL,1
37 HUDSON AVE,1
38 SPRING,1
39 WILLIAM,1
40 WILLIAM STA,1
41 STATION 41,1
42 OHIO,1
43 SENECA ST,2
44 SOUTH PARK,3
45 STATION 45,2
46 STATION 46,2
47 STATION 47,1
48 GELSTON,2
49 BEST,1
51 ELK ST,1
52 HERTEL,2
53 BAILEY,1
54 MAIN,2
56 Electric Ave,1
56 WILLOWDALE & BARTON,2
57 COLVIN,1
58 HARLEM RD,3
59 PERRY,2
60 HAUSAUER RD,2
61 STATION 61,2
63 HIGHLAND,2
64 STATION 64,2
66 UNION RD & MECHANIC ST,1
67 STATION 67,1
68 ELMWOOD,1
71 S. NEWFANE,1
74 MILITARY,3
76 SHAWNEE,1
77 EAST AVE,1
78 FASSETT ST.,5
79 RIDGE ST.,1
80 EIGHTH STREET,1
81 BEACH AVE,1
82 11TH ST,2
83 WELCH AVE,1
85 STEPHENSON AVE,1
86 LEWISTON HEIGHTS,1
87 LEWISTON,1
88 YOUNGSTOWN,1
89 RANSOMVILLE,1
93 WILSON,1
97 SUMMIT PARK,1
AKWESASNE,2
ALBION SUBSTATION NO. 80,2
ALDER CREEK,2
ALTAMONT,2
ANDOVER,2
ANTWERP,1
ARNOLD,2
ASH STREET,7
ASHLEY,1
ATTICA STATION,1
AUSABLE FORKS,1
AVENUE A,1
AVON,1
BALLINA,1
BALLSTON,2
BALMAT,1
BARKER STATION,1
BARTELL,1
BASOM STATION,1
BATAVIA STATION,2
BATTENKILL,2
BELMONT,2
BENNETT RD.,2
BERRY ROAD,1
BETHLEHEM,3
BLUE STORES,1
BOLTON,1
BOMBAY E.S.,1
BOYNTONVILLE,1
BRADY,1
BRASHER,1
BREMEN,1
BREWERTON,1
BRIDGE ST.,1
BRIDGEPORT,1
BRIER HILL,1
BRIGHTON AVE,1
BROCKPORT,4
BROOK ROAD,2
BRUNSWICK,1
BUCKLEY,1
BUCKLEYS,1
BUFF AVE STA,2
BURDECK ST,1
BURGOYNE,1
BUSTI,1
BUTLER,1
BUTTERNUT,1
BUTTS RD,2
BYRON STATION,1
Birch Avenue,1
Bloomingdale Mobile Sub,1
CAMILLUS,1
CARDIFF,2
CAROGA,1
CARTHAGE,1
CASSADAGA,1
CASTLETON,1
CATTARAUGUS,1
CAVANAUGH,1
CAZENOVIA,2
CEDAR,1
CENTER ST.,1
CENTRAL SQUARE,1
CHADWICKS,1
CHARLEY LAKE,1
CHASM FALLS,1
CHAUTAUQUA,1
CHESTERTOWN,1
CHITTENANGO,1
CHRISLER AVE,1
CHURCH ST,2
CLEVELAND,1
CLINTON CRCC,1
CLINTON ERCC,1
CLOVERBANK,1
COBLESKILL,2
COFFEEN,3
COLLINS,1
COLLINSVILLE,1
COLOSSE,1
COLVIN AVE,1
COMMERCE AVE,1
COMSTOCK,1
CONESUS LAKE,1
CONKLING,1
CONSTANTIA,1
CORFU STATION,1
CORINTH,1
CORLISS PARK,1
CORTLAND,2
CROWN POINT,1
CUBA,1
CUBA LAKE,1
CURRY RD,2
CUYLER,1
Clymer,1
DARIEN STATION,1
DAVID,1
DEBALSO SUBSTATION,1
DEERFIELD,2
DEKALB E.S.,1
DELAMETER RD,1
DELANSON,1
DELAWARE AVE,2
DELEVAN,1
DELMAR,2
DELPHI,1
DEXTER,2
DORWIN,1
DUGAN RD.,2
DUGUID,1
Depot Substation,1
E BATAVIA STATION,1
E. DUNKIRK,2
E.J. WEST HYDRO,1
EAGLE BA,1
EAGLE HARBOR,1
EAST FULTON SUBSTATION,1
EAST GOLAH,2
EAST MOLLOY ROAD,1
EAST NORFOLK,1
EAST OTTO,1
EAST PULASKI,1
EAST SCHODACK,1
EAST SPRINGFIELD,1
EAST SYRACUSE,1
EAST WATERTOWN,1
EAST WORCESTER,1
EDEN CENTER,3
EDWARDS,1
EFFLEY FALLS,1
ELBA STATION,1
ELLICOTT,1
ELM STREET,2
ELNORA,1
ELSMERE,1
EMMET,2
EPHRATAH,2
EUCLID,1
EVERETT RD,1
FABIUS,2
FAIRDALE,1
FARMERSVILLE,1
FARNAN RD Mini,1
FAYETTE STREET,1
FINDLEY LAKE,1
FINE,1
FIREHOUSE,1
FISHER,1
FLORIDA,1
FLY RD.,1
FORT GAGE,1
FORTS FERRY,1
FRANKFORT,1
FRANKLIN,2
FRANKLINVILLE,1
FRENCH MOUNTAIN,1
FREWSBURG,1
FRONT ST,2
FT. COVINGTON,1
GABRIELS,1
GALEVILLE,1
GASPORT,1
GENESEE ST.,1
GENESEO,1
GILBERT MILLS,1
GILMANTOWN,1
GILPIN BAY,1
GLENS FALLS,2
GLENWOOD,1
GLOVERSVILLE,2
GRANBY CENTER,1
GRAND ST.,1
GREENBUSH,3
GREENHURST,1
GROOMS,1
GROVELAND,1
HAGUE,1
HAMMOND,1
HANCOCK,2
HARRIS ROAD,2
HARTFIELD,2
HEMLOCK,1
HEMSTREET,1
HENRY STREET,1
HIGLEY,1
HILL ST.,1
HINSDALE,1
HOAG,1
HOMER,2
HOOSICK,2
HOPKINS,2
HUDSON,3
HUDSON FALLS,1
INDIAN LAKE,1
INDIAN RIVER,2
INGHAMS,3
INMAN RD,2
JEWETT,1
JOHNSON,2
JOHNSTOWN,2
JUNIPER,1
KARNER,1
KNAPP RD,1
KNIGHTS CREEK,1
LABRADOR SUBSTATION,2
LAKE RD,1
LAKEVIEW,1
LAKEVILLE,1
LAKEVILLE SUBSTATION NO. 40,1
LANGFORD,1
LANSINGBURGH,2
LATHAM,1
LAWRENCE AVE,2
LEHIGH,1
LENOX,1
LERAY,1
LEVANT,1
LEVITT,1
LIBERTY,4
LIGHTHOUSE HILL,1
LIMA,1
LINDEN STATION,1
LISBON E.S.,1
LIVINGSTON COUNTY CORRECTIO,1
LIVONIA,1
LOON LAKE,1
LORDS HILL,1
LORINGS,1
LOWVILLE,2
LYME E.S.,1
LYNDONVILLE,1
LYNN,1
LYSANDER,1
Lake Colby Substation,4
Little River Substation,3
MACHIAS,2
MADISON,1
MALONE,3
MALTA,1
MAPLEHURST STA. NO.4,1
MAPLEWOOD,2
MARKET HILL,1
MAYFIELD,1
MC ADOO,1
MC CLELLAN,1
MC CREA ST.,1
MCGRAW,1
MENANDS,6
MERRILLVILLE,1
MEXICO,1
MIDDLEBURG,1
MIDDLEPORT,1
"MIDDLEVILLE, ie. HANSON (MIDDL",1
MIDLER,1
MILL ST.,1
MILLER ST.,1
MILTON,1
MINOA,2
MOIRA,1
MORRISTOWN,1
MUMFORD,1
McKOWNVILLE,2
N LEROY STATION,1
N. BANGOR,1
N. CHAUTAUQUA,1
N. EDEN,1
N. LAWRENCE,1
N. OLEAN,1
NASSAU,1
NEW HAVEN,1
NEW KRUMKILL,2
NEW WHITESVILLE,1
NEWARK ST,1
NEWTON FALLS,2
NEWTONVILLE,2
NICHOLVILLE,3
NILES,2
NORTH ASHFORD,1
NORTH BOMBAY,1
NORTH CARTHAGE,2
NORTH COLLINS,1
NORTH CREEK,2
NORTH GOVERNEUR,1
NORTH TROY,3
NORTHVILLE,2
NORWOOD,1
OAK HILL,1
OAKFIELD STATION,2
OATHOUT,1
OGDENBROOK,1
OGDENSBURG,3
OLD FORGE,2
ONEIDA,2
ORANGEVILLE STATION,1
OTTEN,1
PALOMA,1
PANAMA,1
PARISH,1
PARISHVILLE,1
PARK STREET,1
PARTRIDGE ST.,1
PATROON,2
PAUL SMITHS,1
PEAT STREET,1
PEBBLE HILL,2
PERRYSBURG,1
PERRYVILLE,1
PETERBORO,1
PETROLIA,1
PHOENIX,1
PIERCEFIELD,1
PINE GROVE,2
PINEBUSH,2
POLAND,1
POLAND SUBSTATION,1
POMPEY,1
PORT HENRY,1
PORT LEYDEN,1
PORTAGE ST.,1
POTTERSVILLE,1
PRICE CORNERS (DIST.) SUB,1
PROSPECT HILL,1
Pleasant,1
QUAIL HOLLOW,1
QUEENSBURY,3
RANDALL RD,2
RAQUETTE LAKE,1
RAYBROOK ES,1
RENSSELAER,1
REYNOLDS RD,3
RICHMOND,1
RIDGE ROAD,1
RIFLE RANGE,1
RIPARIUS,1
RIPLEY,1
RIVER RD,1
RIVERSIDE,3
RIVERVIEW,1
ROCK CITY,1
ROCK CITY FALLS,1
ROCK CUT,1
ROME,1
ROSA ROAD,2
ROTTERDAM,6
ROYALTON,1
RUSSELL RD,1
RUTH ROAD,1
S. PHILADELPHIA,2
SALISBURY ES,2
SAND CREEK ROAD,1
SAND ROAD & SAND ROAD#2,1
SANDY CREEK 66,1
SARATOGA,3
SCHENEVUS,1
SCHODACK,1
SCHOHARIE,1
SCHROON LAKE,1
SCHUYLER,2
SCHUYLERVILLE,1
SCOFIELD,1
SCOTIA,2
SELKIRK SUB,1
SEMINOLE,1
SENTINEL HEIGHTS,2
SEVENTH AVE. SUB.,1
SEVENTH NORTH,1
SEWALL'S ISLAND,1
SHARON,1
SHELBY,2
SHEPPARD STATION,2
SHERMAN,1
SHORE RD,1
SILVER LAKE,1
SINCLAIRVILLE,1
SMITH BRIDGE,1
SO. ROBERTS RD,1
SO. WASHINGTON ST.,1
SORRELL HILL,1
SOUTH RANDOLPH,1
SOUTH ST,1
SOUTH WELLSVILLE,1
SOUTHLAND,1
SOUTHWOOD,1
SPRINGFIELD,2
ST JOHNSVILLE,2
ST. REGIS,1
STAR LAKE,1
STARR RD.,1
STATE STREET,1
STATION 150,1
STATION 159,1
STATION 56,1
STEAMBURG,1
STILES,2
STITTVILLE,1
STONER,1
STOW,1
STUVESANT,1
SUMMIT,2
SUNDAY CREEK,1
SWAGGERTOWN RD,1
SYCAWAY,2
TEALL SUBSTATION,5
TEMPLE ST.,2
TERMINA,2
THIRD ST,1
THOUSAND ISLANDS,1
TIBBETS AVE,1
TRINITY,2
TRUXTON,2
TULLER HILL,1
TULLY CENTER,1
TURIN RD,1
UNION,1
UNION ST,1
UNIONVILLE,1
VAIL MILLS,2
VAL KIN,1
VALLEY,2
VALLEY SUBSTATION,3
VANDALIA,1
VOORHEESVILLE,1
W ALBION,2
W HAMLIN,1
W. OLEAN,2
WALESVILLE,1
WALMORE,1
WARRENSBURG,2
WATERPORT,1
WATT ST,1
WEAVER ST,1
WEIBEL,2
WELLS,1
WEST ADAMS,1
WEST CLEVELAND,1
WEST HERKIMER,1
WEST MONROE,1
WEST PORTLAND,1
WEST SALAMANCA,1
WEST VALLEY,1
WESTVALE,1
WESTVILLE,1
WETHERSFIELD STATION,1
WHITAKER,1
WHITE LAKE SUBSTATION,1
WHITEHALL,1
WHITESBORO,1
WILTON,1
WINE CREEK,1
WOLF RD.,2
WORCESTER,1
YAHNUNDASIS (1&2),3
YORK CENTER SUBSTATION,1
