substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
RIPLEY,West,Ripley,0,2,2,1,34.5/4.8,3.75,4,1270,2003-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
RIVER RD,East,Schaghticoke,0,1,1,1,34.5/4.8,2.5,2,3,1949-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
RIVERSIDE,East,Albany,4,9,10,1,115/34.5/13.8,40/53.3/66.6,23,3937,2001-07-01,115.0,34.5,13.8,40,53.3,66.6,0,0,True
RIVERSIDE,East,Albany,4,9,10,1,115/34.5/13.8,40/53/66/74.6,0,3937,2001-07-01,115.0,34.5,13.8,40,53,66,74.6,0,True
RIVERSIDE,East,Albany,4,9,10,2,115/13.8,24/32/40,0,3937,2001-07-01,115.0,13.8,0.0,24,32,40,0,0,True
RIVERVIEW,Central,Black Brook,0,1,1,1,46/4.8,0.5,2,269,1949-01-01,46.0,4.8,0.0,0.5,0,0,0,0,True
SO. ROBERTS RD,West,Dunkirk,2,0,4,1,115/13.8,12/16/20,6,2201,1972-05-02,115.0,13.8,0.0,12,16,20,0,0,True
ROCK CITY FALLS,East,Milton,0,1,1,1,34.5/4.8/4.16,3.75,2,592,1993-01-01,34.5,4.8,4.16,3.75,0,0,0,0,True
ROCK CITY,Central,Little Falls,0,1,4,1,46/4.16,5.6/7,5,1736,1966-01-01,46.0,4.16,0.0,5.6,7,0,0,0,True
ROCK CUT,Central,Syracuse,2,0,4,1,115/13.8,20/26/33,6,7550,1973-01-01,115.0,13.8,0.0,20,26,33,0,0,True
ROME,Central,Rome,4,0,8,2,115/13.8,18/24/30,12,11048,2004-07-08,115.0,13.8,0.0,18,24,30,0,0,True
ROSA ROAD,East,Niskayuna,2,4,3,1,115/13.8,15/20/25,9,7749,1960-07-12,115.0,13.8,0.0,15,20,25,0,0,True
ROSA ROAD,East,Niskayuna,2,4,3,1,115/34.5/4.8,30/40/50,0,7749,1960-07-12,115.0,34.5,4.8,30,40,50,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,1,115/34.5,20/26.7/33.3,27,6057,1947-09-18,115.0,34.5,0.0,20,26.7,33.3,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,3,115/34.5/13.8,6.7/8.9,0,6057,1947-09-18,115.0,34.5,13.8,6.7,8.9,0,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,1,115/69/13.8,33.6/44.8/56,0,6057,1947-09-18,115.0,69.0,13.8,33.6,44.8,56,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,1,115/13.8,15/20/25,0,6057,1947-09-18,115.0,13.8,0.0,15,20,25,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,2,230/115/13.8,267/298,0,6057,1947-09-18,230.0,115.0,13.8,267,298,0,0,0,True
ROTTERDAM,East,Rotterdam,16,7,4,1,230/115/13.8,349,0,6057,1947-09-18,230.0,115.0,13.8,349,0,0,0,0,True
ROYALTON,West,Royalton,0,1,2,2,34.5/4.8,1.5,3,1272,1972-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
RUSSELL RD,East,Albany,0,1,1,1,34.5/13.2,5,2,157,1994-01-01,34.5,13.2,0.0,5,0,0,0,0,True
RUTH ROAD,East,Colonie,2,0,5,1,115/13.8,20.2/26.9/33.6,7,6051,1971-01-01,115.0,13.8,0.0,20.2,26.9,33.6,0,0,True
ST JOHNSVILLE,East,Saint Johnsville,2,0,2,1,115/13.8/4.8,5/5.6,4,2393,2008-07-14,115.0,13.8,4.8,5,5.6,0,0,0,True
ST JOHNSVILLE,East,Saint Johnsville,2,0,2,1,115/13.8/4.8,7.5/9.375,0,2393,2008-07-14,115.0,13.8,4.8,7.5,9.375,0,0,0,True
ST. REGIS,Central,Bombay,0,1,2,1,34.5/4.8,5,3,810,1984-01-01,34.5,4.8,0.0,5,0,0,0,0,True
SALISBURY ES,Central,Manheim,2,0,4,1,115/13.8,5/5.6,6,5212,1979-05-09,115.0,13.8,0.0,5,5.6,0,0,0,True
SALISBURY ES,Central,Manheim,2,0,4,1,115/13.8,7.5/9.375,0,5212,1979-05-09,115.0,13.8,0.0,7.5,9.375,0,0,0,True
SAND CREEK ROAD,East,Colonie,2,0,3,1,115/13.8,15,5,2311,1992-01-01,115.0,13.8,0.0,15,0,0,0,0,True
SAND ROAD & SAND ROAD#2,Central,Salina,0,2,4,1,34.5/4.16,3.75/4.69,6,603,1953-01-01,34.5,4.16,0.0,3.75,4.69,0,0,0,True
SANDY CREEK 66,Central,Sandy Creek,0,1,2,1,34.5/13.8,5/6.25,3,3891,1969-01-01,34.5,13.8,0.0,5,6.25,0,0,0,True
SARATOGA,East,Saratoga Springs,0,2,4,1,34.5/13.8,7.5/9.375/10.5,6,3037,1937-07-14,34.5,13.8,0.0,7.5,9.375,10.5,0,0,True
SARATOGA,East,Saratoga Springs,0,2,4,1,34.5/4.16,5/6.3,0,3037,1937-07-14,34.5,4.16,0.0,5,6.3,0,0,0,True
SARATOGA,East,Saratoga Springs,0,2,4,3,230/23,60/80/100,0,3037,1937-07-14,230.0,23.0,0.0,60,80,100,0,0,True
SCHENEVUS,East,Maryland,0,1,1,3,23/4.8,0.667,2,1156,1947-01-01,23.0,4.8,0.0,0.667,0,0,0,0,True
SCHODACK,East,Schodack,2,0,3,1,115/13.8,12/16/20/22.4,5,3508,2008-01-01,115.0,13.8,0.0,12,16,20,22.4,0,True
SCHOHARIE,East,Schoharie,2,0,2,1,69/13.8,7.5/9.375/10.5,4,2766,1971-01-02,69.0,13.8,0.0,7.5,9.375,10.5,0,0,True
SCHROON LAKE,East,Schroon,0,1,1,1,34.4/13.8,5/5.6/6.25/7,2,2600,1977-11-01,34.4,13.8,0.0,5,5.6,6.25,7,0,True
SCHUYLER,Central,Frankfort,2,5,4,1,115/13.8,20/26.7/33.3,11,8482,1982-06-03,115.0,13.8,0.0,20,26.7,33.3,0,0,True
SCHUYLER,Central,Frankfort,2,5,4,2,115/46,21/28/35,0,8482,1982-06-03,115.0,46.0,0.0,21,28,35,0,0,True
SCHUYLERVILLE,East,Saratoga,0,2,2,1,34.5/4.8,5/6.3,4,1773,1992-01-01,34.5,4.8,0.0,5,6.3,0,0,0,True
SCOFIELD,East,Lake Luzerne,2,0,2,1,115/13.8,7.5/9.375,4,3729,1991-01-01,115.0,13.8,0.0,7.5,9.375,0,0,0,True
SCOTIA,East,Glenville,0,2,6,1,34.5/4.16,5/5.6,8,3368,1964-01-01,34.5,4.16,0.0,5,5.6,0,0,0,True
SCOTIA,East,Glenville,0,2,6,1,34.5/4.16,5/6.25,0,3368,1964-01-01,34.5,4.16,0.0,5,6.25,0,0,0,True
SELKIRK SUB,East,Bethlehem,0,1,2,1,34.4/13.8,7.5/9.375,3,4278,1969-10-01,34.4,13.8,0.0,7.5,9.375,0,0,0,True
SEMINOLE,East,Albany,0,1,3,1,34.5/4.16,5/6.3,4,3017,1965-01-01,34.5,4.16,0.0,5,6.3,0,0,0,True
SENTINEL HEIGHTS,Central,Onondaga,0,1,1,2,34.5/4.16,0.33,2,272,1960-01-01,34.5,4.16,0.0,0.33,0,0,0,0,True
SENTINEL HEIGHTS,Central,Onondaga,0,1,1,1,34.5/4.16,0.33,0,272,1960-01-01,34.5,4.16,0.0,0.33,0,0,0,0,True
SEVENTH AVE. SUB.,East,Troy,0,2,4,1,34.5/4.16,5/6.25,6,3026,2003-03-31,34.5,4.16,0.0,5,6.25,0,0,0,True
SEVENTH NORTH,Central,Clay,0,1,3,1,34.5/4.8,5.6/7,4,23,1961-01-01,34.5,4.8,0.0,5.6,7,0,0,0,True
SEWALL'S ISLAND,Central,Watertown,0,2,0,1,23/4.8,7.5,2,3334,2000-01-01,23.0,4.8,0.0,7.5,0,0,0,0,True
SHARON,East,Sharon,0,2,2,1,69/13.8,8.4/10.5,4,2859,1988-01-01,69.0,13.8,0.0,8.4,10.5,0,0,0,True
SHELBY,West,Shelby,2,0,6,1,115/13.8,15/20/25,8,4916,1990-06-20,115.0,13.8,0.0,15,20,25,0,0,True
SHELBY,West,Shelby,2,0,6,1,115/13.8,15/20/25,0,4916,1990-06-20,115.0,13.8,0.0,15,20,25,0,0,True
SHEPPARD STATION,West,Pavilion,0,3,2,1,34.5/13.8,3.75/5.25,5,1399,1973-07-01,34.5,13.8,0.0,3.75,5.25,0,0,0,True
SHEPPARD STATION,West,Pavilion,0,3,2,1,34.5/13.8,5.25,0,1399,1973-07-01,34.5,13.8,0.0,5.25,0,0,0,0,True
SHERMAN,Central,Trenton,0,1,2,1,46/13.8,10/12.5,3,3863,1994-01-01,46.0,13.8,0.0,10,12.5,0,0,0,True
SHORE RD,East,Ballston,0,2,3,1,34.4/4.8,5/6.25,5,1963,1957-01-01,34.4,4.8,0.0,5,6.25,0,0,0,True
SILVER LAKE,Central,Black Brook,0,1,1,1,46/2.4,0.333,2,180,1991-01-01,46.0,2.4,0.0,0.333,0,0,0,0,True
SINCLAIRVILLE,West,Gerry,0,1,1,1,34.5/4.8,2.5,2,1365,1963-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
SMITH BRIDGE,East,Wilton,2,0,3,1,115/13.8,15/20/25,5,5367,1993-01-01,115.0,13.8,0.0,15,20,25,0,0,True
SORRELL HILL,Central,Van Buren,1,0,4,1,115/13.8,15/20/25,5,9121,1991-05-01,115.0,13.8,0.0,15,20,25,0,0,True
S. PHILADELPHIA,Central,Philadelphia,0,3,1,2,23/4.8,0.5,4,607,1955-01-01,23.0,4.8,0.0,0.5,0,0,0,0,True
S. PHILADELPHIA,Central,Philadelphia,0,3,1,1,23/4.8,0.5,0,607,1955-01-01,23.0,4.8,0.0,0.5,0,0,0,0,True
SOUTH RANDOLPH,West,Randolph,0,1,1,1,34.5/4.8,1.5,2,331,2005-06-24,34.5,4.8,0.0,1.5,0,0,0,0,True
SOUTH ST,East,Saratoga Springs,0,2,3,1,34.4/13.8,10/12.5,5,2503,2002-01-01,34.4,13.8,0.0,10,12.5,0,0,0,True
SO. WASHINGTON ST.,Central,Herkimer,0,1,1,1,46/13.8,0.5,2,1062,1994-06-09,46.0,13.8,0.0,0.5,0,0,0,0,True
SOUTH WELLSVILLE,West,Wellsville,0,3,3,1,34.5/4.8,3.75,6,1968,1974-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
SOUTHLAND,West,Somerset,0,1,1,1,34.5/4.8,3.75,2,622,1972-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
SOUTHWOOD,Central,Dewitt,1,0,4,1,110/13.8,12/16/20,5,6260,1966-01-01,110.0,13.8,0.0,12,16,20,0,0,True
WEST PORTLAND,West,Portland,0,1,1,3,34.5/0.48,1.67,2,113,1974-01-01,34.5,0.48,0.0,1.67,0,0,0,0,True
SPRINGFIELD,Central,Dewitt,0,2,5,1,34.5/4.16,5/6.25,7,3172,2007-09-01,34.5,4.16,0.0,5,6.25,0,0,0,True
SPRINGFIELD,Central,Dewitt,0,2,5,1,34.5/4.16,5/6.25/7,0,3172,2007-09-01,34.5,4.16,0.0,5,6.25,7,0,0,True
STAR LAKE,Central,Clifton,0,1,2,1,34.5/4.8,3.75/5.25,3,1689,1971-10-15,34.5,4.8,0.0,3.75,5.25,0,0,0,True
STARR RD.,Central,Cortlandville,1,0,4,1,115/13.8,15/20/25,5,8321,1991-11-01,115.0,13.8,0.0,15,20,25,0,0,True
STATE STREET,Central,Canton,0,1,3,2,23/4.8,3/3.75,4,896,1954-01-01,23.0,4.8,0.0,3,3.75,0,0,0,True
21 MAIN,West,Amherst,0,4,12,3,23/4.16,3.75/4.687,16,4815,2007-08-01,23.0,4.16,0.0,3.75,4.687,0,0,0,True
21 MAIN,West,Amherst,0,4,12,1,23/4.36,3.75/4.687,0,4815,2007-08-01,23.0,4.36,0.0,3.75,4.687,0,0,0,True
22 KENMORE,West,Buffalo,0,8,12,4,23/4.16,3.75/4.6,20,7409,1993-01-01,23.0,4.16,0.0,3.75,4.6,0,0,0,True
23 KENMORE,West,Buffalo,0,4,12,4,22.9/4.36,3.75/4.687,16,5393,2011-05-26,22.9,4.36,0.0,3.75,4.687,0,0,0,True
24 KENMORE,West,Buffalo,0,4,11,4,22.9/4.36,3.75/4.69,15,4939,2003-10-01,22.9,4.36,0.0,3.75,4.69,0,0,0,True
25 STATION 25,West,Buffalo,0,6,11,2,23/4.16,2.5,17,4271,2000-12-05,23.0,4.16,0.0,2.5,0,0,0,0,True
25 STATION 25,West,Buffalo,0,6,11,1,23/4.16,2.5/3.125,0,4271,2000-12-05,23.0,4.16,0.0,2.5,3.125,0,0,0,True
25 STATION 25,West,Buffalo,0,6,11,1,23/4.16,2.5,0,4271,2000-12-05,23.0,4.16,0.0,2.5,0,0,0,0,True
26 STATION 26,West,Buffalo,0,6,13,1,23/4.16,3.7/5.2,19,8098,1977-01-01,23.0,4.16,0.0,3.7,5.2,0,0,0,True
26 STATION 26,West,Buffalo,0,6,13,3,23/4.16,3.7/5.25,0,8098,1977-01-01,23.0,4.16,0.0,3.7,5.25,0,0,0,True
27 JEWETT AVE,West,Buffalo,0,10,10,4,23/4.16,2.5,20,3873,1964-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
28 STATION 28,West,Buffalo,0,4,12,4,23/4.16,3.75/4.69,16,7233,2003-03-31,23.0,4.16,0.0,3.75,4.69,0,0,0,True
29 POTOMAC,West,Buffalo,0,8,12,4,23/4.16,2.5,20,5731,2010-10-07,23.0,4.16,0.0,2.5,0,0,0,0,True
30 SPILLMAN,West,Buffalo,0,4,10,3,23/4.16,2.5/3.125,14,3083,1957-01-01,23.0,4.16,0.0,2.5,3.125,0,0,0,True
30 SPILLMAN,West,Buffalo,0,4,10,1,23/4.16,2.5/3.13,0,3083,1957-01-01,23.0,4.16,0.0,2.5,3.13,0,0,0,True
31 STATION 31,West,Buffalo,0,4,11,1,23/4.16,2.5,15,5142,1948-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
31 STATION 31,West,Buffalo,0,4,11,2,23/4.16,2.5/3,0,5142,1948-01-01,23.0,4.16,0.0,2.5,3,0,0,0,True
31 STATION 31,West,Buffalo,0,4,11,1,23/4.16,2.5/3.13,0,5142,1948-01-01,23.0,4.16,0.0,2.5,3.13,0,0,0,True
32 BAILEY,West,Buffalo,0,4,10,4,23/4.16,2.5,14,7046,1951-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
33 STATION 33,West,Buffalo,0,4,10,4,23/4.36,3.75/4.68,14,5592,2006-07-28,23.0,4.36,0.0,3.75,4.68,0,0,0,True
34 BEST ST.,West,Buffalo,0,8,10,3,23/4.16,2.5,18,4637,1930-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
34 BEST ST.,West,Buffalo,0,8,10,1,23/4.16,2.5,0,4637,1930-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
35 WALDEN,West,Buffalo,0,4,11,4,23/4.16,2.5,15,4920,1930-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
36 SUMNER PL,West,Buffalo,0,4,11,4,23/4.16,3.75/4.7,15,7453,2001-06-01,23.0,4.16,0.0,3.75,4.7,0,0,0,True
37 HUDSON AVE,West,Buffalo,0,7,11,4,23/4.16,2.5,18,5148,1930-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
38 SPRING,West,Buffalo,0,8,11,4,23/4.16,2.5,19,2903,1930-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
39 WILLIAM,West,Buffalo,0,4,12,4,23/4.16,3.75/4.69,16,5764,1998-01-01,23.0,4.16,0.0,3.75,4.69,0,0,0,True
40 WILLIAM STA,West,Buffalo,0,4,15,4,23/4.16,3.75/4.8,19,5144,1978-01-01,23.0,4.16,0.0,3.75,4.8,0,0,0,True
41 STATION 41,West,Buffalo,0,8,12,4,23/4.16,2.5,20,2044,1929-12-13,23.0,4.16,0.0,2.5,0,0,0,0,True
42 OHIO,West,Buffalo,0,3,5,3,23/4.16,2.5/3,8,164,1940-01-03,23.0,4.16,0.0,2.5,3,0,0,0,True
43 SENECA ST,West,Buffalo,0,4,10,2,22.9/4.36,3.75/4.687,14,4559,2012-04-20,22.9,4.36,0.0,3.75,4.687,0,0,0,True
43 SENECA ST,West,Buffalo,0,4,10,2,23/4.16,3.75/4.687,0,4559,2012-04-20,23.0,4.16,0.0,3.75,4.687,0,0,0,True
44 SOUTH PARK,West,Buffalo,0,4,11,2,23/4.16,3.75,15,7823,1997-01-01,23.0,4.16,0.0,3.75,0,0,0,0,True
44 SOUTH PARK,West,Buffalo,0,4,11,1,23/4.16,3.75/4.687,0,7823,1997-01-01,23.0,4.16,0.0,3.75,4.687,0,0,0,True
44 SOUTH PARK,West,Buffalo,0,4,11,1,23/4.16,3.75/4.69,0,7823,1997-01-01,23.0,4.16,0.0,3.75,4.69,0,0,0,True
45 STATION 45,West,Buffalo,0,4,8,1,23/4.16,2.5/3.13,12,3485,1956-01-01,23.0,4.16,0.0,2.5,3.13,0,0,0,True
45 STATION 45,West,Buffalo,0,4,8,3,23/4.16,2.5,0,3485,1956-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
46 STATION 46,West,Buffalo,0,4,11,2,22.9/4.16,3.75/4.7,15,6347,2004-04-19,22.9,4.16,0.0,3.75,4.7,0,0,0,True
46 STATION 46,West,Buffalo,0,4,11,2,23/4.16,3.75/4.7,0,6347,2004-04-19,23.0,4.16,0.0,3.75,4.7,0,0,0,True
47 STATION 47,West,Tonawanda,0,3,8,3,23/4.36,3.75/4.7,11,1128,2006-01-01,23.0,4.36,0.0,3.75,4.7,0,0,0,True
48 GELSTON,West,Buffalo,0,4,10,2,23/4.16,3.75/4.687,14,2957,1996-01-01,23.0,4.16,0.0,3.75,4.687,0,0,0,True
48 GELSTON,West,Buffalo,0,4,10,2,23/4.16,3.75/4.69,0,2957,1996-01-01,23.0,4.16,0.0,3.75,4.69,0,0,0,True
49 BEST,West,Buffalo,0,8,12,4,23/4.16,3.75/4.69,20,2020,1993-01-01,23.0,4.16,0.0,3.75,4.69,0,0,0,True
51 ELK ST,West,Buffalo,0,4,8,4,23/4.16,2.5/3,12,2011,1939-01-01,23.0,4.16,0.0,2.5,3,0,0,0,True
52 HERTEL,West,Buffalo,0,4,12,1,23/4.16,2.5/3,16,2127,2010-11-03,23.0,4.16,0.0,2.5,3,0,0,0,True
52 HERTEL,West,Buffalo,0,4,12,2,23/4.16,3.75/4.687,0,2127,2010-11-03,23.0,4.16,0.0,3.75,4.687,0,0,0,True
53 BAILEY,West,Buffalo,0,3,6,3,23/4.16,2.5/3.13,9,5201,1954-01-01,23.0,4.16,0.0,2.5,3.13,0,0,0,True
54 MAIN,West,Amherst,2,0,11,1,115/4.16,7.5/9.375,13,3344,1970-07-29,115.0,4.16,0.0,7.5,9.375,0,0,0,True
54 MAIN,West,Amherst,2,0,11,1,115/4.16,7.5/9.4,0,3344,1970-07-29,115.0,4.16,0.0,7.5,9.4,0,0,0,True
56 Electric Ave,West,Lackawanna,2,0,7,2,115/4.16,3.75/4.687,9,2129,1949-05-07,115.0,4.16,0.0,3.75,4.687,0,0,0,True
56 WILLOWDALE & BARTON,West,Tonawanda,0,5,8,1,23/4.16,2.5/3.1,13,3597,1956-10-10,23.0,4.16,0.0,2.5,3.1,0,0,0,True
56 WILLOWDALE & BARTON,West,Tonawanda,0,5,8,3,23/4.16,2.5/3.13,0,3597,1956-10-10,23.0,4.16,0.0,2.5,3.13,0,0,0,True
57 COLVIN,West,Tonawanda,0,3,8,3,23/4.16,3.75/4.2/4.7/5,11,4008,1973-01-01,23.0,4.16,0.0,3.75,4.2,4.7,5,0,True
58 HARLEM RD,West,Amherst,0,2,8,1,34.4/4.36,4.2/5.25,10,4139,2006-01-01,34.4,4.36,0.0,4.2,5.25,0,0,0,True
58 HARLEM RD,West,Amherst,0,2,8,2,34.5/4.16,3.75/4.69,0,4139,2006-01-01,34.5,4.16,0.0,3.75,4.69,0,0,0,True
58 HARLEM RD,West,Amherst,0,2,8,1,34.5/4.16,3.75/4.69/5.25,0,4139,2006-01-01,34.5,4.16,0.0,3.75,4.69,5.25,0,0,True
59 PERRY,West,Buffalo,0,3,6,2,23/4.16,2.5/3,9,1057,1957-01-01,23.0,4.16,0.0,2.5,3,0,0,0,True
59 PERRY,West,Buffalo,0,3,6,1,23/4.16,2.5/3.13,0,1057,1957-01-01,23.0,4.16,0.0,2.5,3.13,0,0,0,True
60 HAUSAUER RD,West,Amherst,2,0,7,1,115/13.8,12/16/20,9,5914,1969-11-13,115.0,13.8,0.0,12,16,20,0,0,True
60 HAUSAUER RD,West,Amherst,2,0,7,1,115/13.8,12/16/22.4,0,5914,1969-11-13,115.0,13.8,0.0,12,16,22.4,0,0,True
61 STATION 61,West,Cheektowaga,2,0,6,1,115/4.16,7.5/9.375,8,5751,1957-09-26,115.0,4.16,0.0,7.5,9.375,0,0,0,True
61 STATION 61,West,Cheektowaga,2,0,6,1,115/4.16,7.5/9.4,0,5751,1957-09-26,115.0,4.16,0.0,7.5,9.4,0,0,0,True
63 HIGHLAND,West,Tonawanda,0,3,5,1,22.9/4.36,4.2/5.25,8,3463,2010-04-30,22.9,4.36,0.0,4.2,5.25,0,0,0,True
63 HIGHLAND,West,Tonawanda,0,3,5,2,23/4.16,3.75,0,3463,2010-04-30,23.0,4.16,0.0,3.75,0,0,0,0,True
64 STATION 64,West,Grand Island,2,0,6,1,113/13.8,12,8,5121,1972-05-23,113.0,13.8,0.0,12,0,0,0,0,True
64 STATION 64,West,Grand Island,2,0,6,1,113/13.8,12/16/22.4,0,5121,1972-05-23,113.0,13.8,0.0,12,16,22.4,0,0,True
66 UNION RD & MECHANIC ST,West,Cheektowaga,0,1,1,1,34.5/4.8,1.5,2,230,1959-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
67 STATION 67,West,Amherst,0,2,2,2,34.5/4.16,3.75,4,902,1958-01-20,34.5,4.16,0.0,3.75,0,0,0,0,True
68 ELMWOOD,West,Buffalo,0,4,10,4,23/4.16,2.5,14,6180,1967-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
71 S. NEWFANE,West,Newfane,0,2,2,1,34.4/5.04,3.75/4.688,4,1344,2010-03-05,34.4,5.04,0.0,3.75,4.688,0,0,0,True
74 MILITARY,West,Tonawanda,0,7,6,1,23/4.16,2.5/3.12,13,3787,2003-12-30,23.0,4.16,0.0,2.5,3.12,0,0,0,True
74 MILITARY,West,Tonawanda,0,7,6,1,23/4.16,2.5,0,3787,2003-12-30,23.0,4.16,0.0,2.5,0,0,0,0,True
74 MILITARY,West,Tonawanda,0,7,6,1,23/4.16,3,0,3787,2003-12-30,23.0,4.16,0.0,3,0,0,0,0,True
76 SHAWNEE,West,Cambria,2,0,4,1,115/13.8,12/16/20,6,5813,1975-01-01,115.0,13.8,0.0,12,16,20,0,0,True
