substation,division,town,trans_feeders,subtrans_feeders,dist_feeders,banks,rated voltage,rated mva,circuits,customers served,age,v1,v2,v3,mva1,mva2,mva3,mva4,mva5,v1_bigger
77 EAST AVE,West,Tonawanda,0,4,5,2,23/4.16,4.725,9,2340,1998-07-01,23.0,4.16,0.0,4.725,0,0,0,0,True
78 FASSETT ST.,West,North Tonawanda,2,7,8,1,115/23,15,17,5260,1968-09-05,115.0,23.0,0.0,15,0,0,0,0,True
78 FASSETT ST.,West,North Tonawanda,2,7,8,1,115/23,15/20,0,5260,1968-09-05,115.0,23.0,0.0,15,20,0,0,0,True
78 FASSETT ST.,West,North Tonawanda,2,7,8,1,115/23,25,0,5260,1968-09-05,115.0,23.0,0.0,25,0,0,0,0,True
78 FASSETT ST.,West,North Tonawanda,2,7,8,1,115/23,30/40/50,0,5260,1968-09-05,115.0,23.0,0.0,30,40,50,0,0,True
78 FASSETT ST.,West,North Tonawanda,2,7,8,2,115/23/4.16,7.5,0,5260,1968-09-05,115.0,23.0,4.16,7.5,0,0,0,0,True
79 RIDGE ST.,West,North Tonawanda,0,3,6,3,23/4.16,2.5,9,2728,1958-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
80 EIGHTH STREET,West,Niagara Falls,0,3,5,3,12/4.16,3.5,8,1972,1951-01-01,12.0,4.16,0.0,3.5,0,0,0,0,True
81 BEACH AVE,West,Niagara Falls,0,6,7,3,12/4.16,3.5,13,3076,1949-01-01,12.0,4.16,0.0,3.5,0,0,0,0,True
82 11TH ST,West,Niagara Falls,0,6,8,1,12/4.16,3.5,14,4307,2011-11-28,12.0,4.16,0.0,3.5,0,0,0,0,True
82 11TH ST,West,Niagara Falls,0,6,8,2,12/4.16,3.5,0,4307,2011-11-28,12.0,4.16,0.0,3.5,0,0,0,0,True
83 WELCH AVE,West,Niagara Falls,0,8,8,3,12/4.16,3.5,16,4136,1949-01-01,12.0,4.16,0.0,3.5,0,0,0,0,True
85 STEPHENSON AVE,West,Niagara Falls,0,6,8,3,12/4.8,3.5,14,3549,1968-01-01,12.0,4.8,0.0,3.5,0,0,0,0,True
86 LEWISTON HEIGHTS,West,Lewiston,0,2,2,1,34.5/4.8,4.6/5.25,4,909,2004-08-06,34.5,4.8,0.0,4.6,5.25,0,0,0,True
87 LEWISTON,West,Lewiston,0,2,3,1,34.5/4.8,3.75/4.69,5,1355,2005-12-01,34.5,4.8,0.0,3.75,4.69,0,0,0,True
88 YOUNGSTOWN,West,Porter,0,2,2,1,34.4/5.04,3.75/4.688,4,1230,2012-05-30,34.4,5.04,0.0,3.75,4.688,0,0,0,True
89 RANSOMVILLE,West,Wilson,0,2,2,1,34.5/4.8,3.75,4,1833,2004-04-26,34.5,4.8,0.0,3.75,0,0,0,0,True
93 WILSON,West,Wilson,0,2,3,1,34.5/4.8,3.75,5,2129,2013-01-17,34.5,4.8,0.0,3.75,0,0,0,0,True
97 SUMMIT PARK,West,Wheatfield,2,0,8,2,113/13.8,12/16/22.4,10,5767,1971-09-13,113.0,13.8,0.0,12,16,22.4,0,0,True
105 SWANN RD,West,Lewiston,2,0,4,1,115/13.8,15/20/25,6,5979,2007-06-18,115.0,13.8,0.0,15,20,25,0,0,True
105 SWANN RD,West,Lewiston,2,0,4,1,115/13.8,15/20/25,0,5979,2007-06-18,115.0,13.8,0.0,15,20,25,0,0,True
121 CLINTON ST,West,West Seneca,0,2,1,3,34.5/4.8,0.833,3,17,1999-03-01,34.5,4.8,0.0,0.833,0,0,0,0,True
122 SOMMER ST,West,North Tonawanda,0,2,5,1,23/4.16,2.5,7,867,1991-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
122 SOMMER ST,West,North Tonawanda,0,2,5,3,23/4.16,3.125,0,867,1991-01-01,23.0,4.16,0.0,3.125,0,0,0,0,True
124 ALAMEDA AVE,West,Amherst,0,2,13,4,34.5/4.16,3.75/4.68,15,4172,1962-09-19,34.5,4.16,0.0,3.75,4.68,0,0,0,True
126 STATION 126,West,Tonawanda,0,2,4,2,23/4.16,2.5,6,2300,1974-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
127 DELAWARE ROAD,West,Tonawanda,0,3,6,2,23/4.16,2.5/3.125,9,3777,1999-10-01,23.0,4.16,0.0,2.5,3.125,0,0,0,True
127 DELAWARE ROAD,West,Tonawanda,0,3,6,1,23/4.16,2.5,0,3777,1999-10-01,23.0,4.16,0.0,2.5,0,0,0,0,True
129 BROMPTON,West,Tonawanda,2,0,7,1,115/4.16,7.5/9.375,9,3222,2010-09-29,115.0,4.16,0.0,7.5,9.375,0,0,0,True
129 BROMPTON,West,Tonawanda,2,0,7,1,115/4.33,7.5/9.375,0,3222,2010-09-29,115.0,4.33,0.0,7.5,9.375,0,0,0,True
130 NIAGARA FALLS BLVD,West,Amherst,2,0,8,2,115/13.8,20/26.7/33.3,10,7144,1993-12-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
132 BUELL AVE,West,Cheektowaga,0,2,1,1,34.5/4.8,3.75,3,16,1986-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
138 OAKWOOD,West,Pendleton,1,0,2,1,115/4.8,3.75/4.68,3,994,1952-09-15,115.0,4.8,0.0,3.75,4.68,0,0,0,True
139 MARTIN RD,West,Lackawanna,2,0,6,2,115/4.16,3.75/4.687,8,3105,1952-10-20,115.0,4.16,0.0,3.75,4.687,0,0,0,True
140 MAPLE RD,West,Amherst,2,0,8,2,115/13.8,18/24/33.6,10,8992,1973-09-05,115.0,13.8,0.0,18,24,33.6,0,0,True
146 WALDEN AVE.,West,Cheektowaga,0,1,2,1,34.5/13.8,3.75,3,156,1969-01-01,34.5,13.8,0.0,3.75,0,0,0,0,True
146 WALDEN AVE.,West,Cheektowaga,0,1,2,1,34.5/4.8,1.5,0,156,1969-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
154 GEORGE URBAN,West,Cheektowaga,2,0,3,2,115/4.16,3.75,5,2154,1954-07-19,115.0,4.16,0.0,3.75,0,0,0,0,True
155 ROBERTS,West,Buffalo,1,0,3,1,115/4.16,7.5,4,2257,1975-01-01,115.0,4.16,0.0,7.5,0,0,0,0,True
160 SUMMER ST.,West,Buffalo,0,6,6,2,23/4.16,3.75,12,1355,2007-04-01,23.0,4.16,0.0,3.75,0,0,0,0,True
160 SUMMER ST.,West,Buffalo,0,6,6,1,23/4.16,4.2/5.25,0,1355,2007-04-01,23.0,4.16,0.0,4.2,5.25,0,0,0,True
161 SHORT STREET,West,Buffalo,0,3,8,3,23/4.16,3.75,11,2748,1993-01-01,23.0,4.16,0.0,3.75,0,0,0,0,True
162 STATION 162,West,Buffalo,0,2,3,1,23/4.16,2.5,5,7,1969-01-01,23.0,4.16,0.0,2.5,0,0,0,0,True
162 STATION 162,West,Buffalo,0,2,3,1,23/4.16,2.8,0,7,1969-01-01,23.0,4.16,0.0,2.8,0,0,0,0,True
170 NEWFANE,West,Newfane,0,2,3,1,34.5/4.8,5.25,5,1919,1972-01-01,34.5,4.8,0.0,5.25,0,0,0,0,True
171 BURT,West,Newfane,0,2,3,1,34.5/4.8,3.75/4.69/5.25,5,1922,1994-01-01,34.5,4.8,0.0,3.75,4.69,5.25,0,0,True
205 ERIE DRIVE,West,Buffalo,0,3,2,4,23/13.8,3.75,5,348,1990-01-01,23.0,13.8,0.0,3.75,0,0,0,0,True
206 TONAWANDA CREEK,West,Amherst,2,0,6,1,115/13.8,15,8,6467,1990-02-01,115.0,13.8,0.0,15,0,0,0,0,True
206 TONAWANDA CREEK,West,Amherst,2,0,6,1,115/13.8,15/20/25,0,6467,1990-02-01,115.0,13.8,0.0,15,20,25,0,0,True
207 SLADE AVE,West,West Seneca,0,0,0,1,34.4/13.8,3.75/4.69,0,7,2004-12-31,34.4,13.8,0.0,3.75,4.69,0,0,0,True
208 STATION 208,West,Buffalo,0,3,6,2,23/4.16,3.75/4.6,9,2533,1993-01-01,23.0,4.16,0.0,3.75,4.6,0,0,0,True
208 STATION 208,West,Buffalo,0,3,6,1,23/4.16,3.75,0,2533,1993-01-01,23.0,4.16,0.0,3.75,0,0,0,0,True
209 LONG ROAD,West,Grand Island,2,0,4,1,115/13.8,15,6,3917,1990-12-01,115.0,13.8,0.0,15,0,0,0,0,True
210 MILITARY RD,West,Niagara Falls,2,0,5,1,115/13.8,20/26.7/33.3,7,5835,1991-05-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
211 AYER RD,West,Amherst,2,0,8,2,115/13.8,20/26.7/33.3,10,4673,1994-01-07,115.0,13.8,0.0,20,26.7,33.3,0,0,True
212 HARBOR FRONT,West,Lackawanna,2,0,10,2,115/13.8,15,12,3249,2003-06-30,115.0,13.8,0.0,15,0,0,0,0,True
213 DALE RD,West,Cheektowaga,2,0,2,1,115/13.8,7.5/8.4,4,61,1970-08-21,115.0,13.8,0.0,7.5,8.4,0,0,0,True
214 STATION,West,Tonawanda,2,0,5,1,115/4.16,7.5/9.375,7,1934,1975-01-01,115.0,4.16,0.0,7.5,9.375,0,0,0,True
BUFF AVE STA,West,Niagara Falls,2,0,8,1,115/13.8,20/26.7/33.3,10,4304,1992-10-30,115.0,13.8,0.0,20,26.7,33.3,0,0,True
BUFF AVE STA,West,Niagara Falls,2,0,8,1,115/13.8,20,0,4304,1992-10-30,115.0,13.8,0.0,20,0,0,0,0,True
216 LOCKPORT RD,West,Niagara,2,0,4,1,115/13.8,15/20/25,6,3475,1992-06-29,115.0,13.8,0.0,15,20,25,0,0,True
WALMORE,West,Wheatfield,3,0,4,1,115/13.8,12/16/20,7,4976,1972-07-31,115.0,13.8,0.0,12,16,20,0,0,True
224 SWEET HOME,West,Amherst,2,0,8,1,115/13.8,20/26/33,10,4377,2002-05-31,115.0,13.8,0.0,20,26,33,0,0,True
224 SWEET HOME,West,Amherst,2,0,8,1,115/13.8,20/26.6/33.3,0,4377,2002-05-31,115.0,13.8,0.0,20,26.6,33.3,0,0,True
STEAMBURG,West,Coldspring,0,2,2,1,34.5/4.8,1.5,4,774,1952-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
STILES,Central,Van Buren,0,1,2,1,34.5/4.8,1.667/2.15,3,1076,1960-01-01,34.5,4.8,0.0,1.667,2.15,0,0,0,True
STILES,Central,Van Buren,0,1,2,2,34.5/4.8,1.67/2.15,0,1076,1960-01-01,34.5,4.8,0.0,1.67,2.15,0,0,0,True
STITTVILLE,Central,Marcy,2,0,2,1,115/13.8,7.5/10.5,4,3247,1973-04-05,115.0,13.8,0.0,7.5,10.5,0,0,0,True
STONER,East,Johnstown,2,0,4,1,115/13.8,12/16/20,6,3539,1994-01-01,115.0,13.8,0.0,12,16,20,0,0,True
STOW,West,North Harmony,0,2,1,1,34.5/4.8,2.5,3,1218,1988-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
STUVESANT,East,Stuyvesant,0,1,2,1,34.4/13.8,10,3,1601,1990-01-01,34.4,13.8,0.0,10,0,0,0,0,True
SUMMIT,East,Richmondville,1,1,1,1,69/23,7.5/8.4/10.5,3,944,1974-01-01,69.0,23.0,0.0,7.5,8.4,10.5,0,0,True
SUMMIT,East,Richmondville,1,1,1,1,69/4.8,7.5/8.4/10.5,0,944,1974-01-01,69.0,4.8,0.0,7.5,8.4,10.5,0,0,True
SUNDAY CREEK,Central,Webb,1,0,1,1,115/13.8,2.5/3.13,2,287,1986-01-01,115.0,13.8,0.0,2.5,3.13,0,0,0,True
SWAGGERTOWN RD,East,Glenville,2,0,3,1,115/13.8,12/16/22.4,5,5637,1969-01-01,115.0,13.8,0.0,12,16,22.4,0,0,True
SYCAWAY,East,Brunswick,2,0,6,1,115/13.8,12/16/22.4,8,7213,2011-11-01,115.0,13.8,0.0,12,16,22.4,0,0,True
SYCAWAY,East,Brunswick,2,0,6,1,115/13.8,15/20/25,0,7213,2011-11-01,115.0,13.8,0.0,15,20,25,0,0,True
EFFLEY FALLS,Central,Croghan,7,5,0,1,115/23,20/26.7/33.3,12,38,1993-01-01,115.0,23.0,0.0,20,26.7,33.3,0,0,True
TEALL SUBSTATION,Central,Salina,9,7,6,3,115/34.5,5/6.67,22,11355,2012-07-09,115.0,34.5,0.0,5,6.67,0,0,0,True
TEALL SUBSTATION,Central,Salina,9,7,6,3,115/34.5,5/6.7,0,11355,2012-07-09,115.0,34.5,0.0,5,6.7,0,0,0,True
TEALL SUBSTATION,Central,Salina,9,7,6,3,115/34.5,5/7,0,11355,2012-07-09,115.0,34.5,0.0,5,7,0,0,0,True
TEALL SUBSTATION,Central,Salina,9,7,6,3,115/34.5,5/7.5,0,11355,2012-07-09,115.0,34.5,0.0,5,7.5,0,0,0,True
TEALL SUBSTATION,Central,Salina,9,7,6,1,115/13.8,24/32/40,0,11355,2012-07-09,115.0,13.8,0.0,24,32,40,0,0,True
TEMPLE ST.,Central,Syracuse,3,0,20,2,115/13.8,24/32/40/44.8,23,7941,1979-01-01,115.0,13.8,0.0,24,32,40,44.8,0,True
TEMPLE ST.,Central,Syracuse,3,0,20,1,115/13.8,26.9/35.8/44.8,0,7941,1979-01-01,115.0,13.8,0.0,26.9,35.8,44.8,0,0,True
TERMINA,Central,Utica,2,0,11,1,110/13.8,27/36/45,13,9934,1963-05-28,110.0,13.8,0.0,27,36,45,0,0,True
TERMINA,Central,Utica,2,0,11,1,115/13.8,24/32/40,0,9934,1963-05-28,115.0,13.8,0.0,24,32,40,0,0,True
THIRD ST,Central,Fulton,0,1,3,1,34.5/4.8,3.75/4.69,4,2515,1959-01-01,34.5,4.8,0.0,3.75,4.69,0,0,0,True
THOUSAND ISLANDS,Central,Clayton,1,0,6,2,115/13.8,15/20/25,7,10441,1989-01-01,115.0,13.8,0.0,15,20,25,0,0,True
TIBBETS AVE,East,Troy,0,3,3,1,34.5/4.16,5/6.25,6,2299,1954-01-01,34.5,4.16,0.0,5,6.25,0,0,0,True
TRINITY,East,Albany,4,0,14,2,115/13.8,33.6/44.8/56,18,13830,1972-01-01,115.0,13.8,0.0,33.6,44.8,56,0,0,True
TRINITY,East,Albany,4,0,14,1,13.8/4.16,7.5/9.4,0,13830,1972-01-01,13.8,4.16,0.0,7.5,9.4,0,0,0,True
TRUXTON,Central,Truxton,0,1,1,3,34.5/4.8,0.25,2,572,1970-01-01,34.5,4.8,0.0,0.25,0,0,0,0,True
TRUXTON,Central,Truxton,0,1,1,3,34.5/4.8,0.33,0,572,1970-01-01,34.5,4.8,0.0,0.33,0,0,0,0,True
TULLER HILL,Central,Virgil,1,0,1,1,115/13.8,5/6.25,2,394,1966-10-18,115.0,13.8,0.0,5,6.25,0,0,0,True
TULLY CENTER,Central,Tully,1,0,3,1,115/13.8,12/16/20,4,4553,1965-01-01,115.0,13.8,0.0,12,16,20,0,0,True
TURIN RD,Central,Lee,2,0,4,1,115/13.8,15/20/30,6,6653,1987-04-14,115.0,13.8,0.0,15,20,30,0,0,True
UNION,Central,Black Brook,0,4,1,3,46/2.4,1.67,5,27,1992-01-01,46.0,2.4,0.0,1.67,0,0,0,0,True
UNION ST,East,Cambridge,0,1,3,1,34.4/13.8,7.5/9.375,4,3115,1996-01-01,34.4,13.8,0.0,7.5,9.375,0,0,0,True
UNIONVILLE,East,New Scotland,0,1,2,1,34.5/13.8,10/12.5,3,1960,1995-01-01,34.5,13.8,0.0,10,12.5,0,0,0,True
VAIL MILLS,East,Mayfield,2,0,3,1,115/13.8,12/16/20/22.4,5,8127,1972-08-25,115.0,13.8,0.0,12,16,20,22.4,0,True
VAIL MILLS,East,Mayfield,2,0,3,1,115/69/13.8,30/40/50,0,8127,1972-08-25,115.0,69.0,13.8,30,40,50,0,0,True
VAL KIN,East,Kinderhook,2,0,3,1,115/13.8,12/16/20/22.4,5,5524,1977-11-04,115.0,13.8,0.0,12,16,20,22.4,0,True
VALLEY,West,Great Valley,1,0,5,1,115/13.8,15/20/25,6,6184,1992-07-01,115.0,13.8,0.0,15,20,25,0,0,True
VALLEY,West,Great Valley,1,0,5,1,115/13.8,20/26.7/33.3,0,6184,1992-07-01,115.0,13.8,0.0,20,26.7,33.3,0,0,True
VALLEY SUBSTATION,Central,Herkimer,2,4,4,2,115/4.16,7.5/9.375,10,1809,1969-08-24,115.0,4.16,0.0,7.5,9.375,0,0,0,True
VALLEY SUBSTATION,Central,Herkimer,2,4,4,2,115/46,7.5/9.375,0,1809,1969-08-24,115.0,46.0,0.0,7.5,9.375,0,0,0,True
VALLEY SUBSTATION,Central,Herkimer,2,4,4,1,115/46,15/20/25,0,1809,1969-08-24,115.0,46.0,0.0,15,20,25,0,0,True
VANDALIA,West,Allegany,0,2,1,1,34.5/13.8,5,3,1133,2002-11-06,34.5,13.8,0.0,5,0,0,0,0,True
VOORHEESVILLE,East,Whitestown,2,0,3,1,115/13.8,15/20/25,5,5844,1993-01-01,115.0,13.8,0.0,15,20,25,0,0,True
WALESVILLE,Central,Whitestown,1,0,3,1,115/13.8,15/20/25,4,5194,1993-12-12,115.0,13.8,0.0,15,20,25,0,0,True
WARRENSBURG,East,Warrensburg,2,3,2,1,115/13.8,10/12.5,7,3660,1981-05-07,115.0,13.8,0.0,10,12.5,0,0,0,True
WARRENSBURG,East,Warrensburg,2,3,2,1,115/34.5,33.6/44.8/56,0,3660,1981-05-07,115.0,34.5,0.0,33.6,44.8,56,0,0,True
WATERPORT,West,Carlton,0,3,3,1,34.5/4.8,3.75,6,2052,1996-01-01,34.5,4.8,0.0,3.75,0,0,0,0,True
WATT ST,East,Rotterdam,0,1,2,1,34.4/13.8,7.5/9.37/10.5,3,3658,1973-01-01,34.4,13.8,0.0,7.5,9.37,10.5,0,0,True
WEAVER ST,East,Schenectady,0,2,2,1,34.5/13.8,10/12.5,4,4969,1995-01-01,34.5,13.8,0.0,10,12.5,0,0,0,True
WEIBEL,East,Saratoga Springs,2,0,8,1,115/13.8,20/26/33,10,7184,2005-07-12,115.0,13.8,0.0,20,26,33,0,0,True
WEIBEL,East,Saratoga Springs,2,0,8,1,115/13.8,20/27/33,0,7184,2005-07-12,115.0,13.8,0.0,20,27,33,0,0,True
WELLS,East,Wells,0,2,1,1,23/4.8,2.5,3,903,1949-01-01,23.0,4.8,0.0,2.5,0,0,0,0,True
WEST ADAMS,Central,Adams,1,0,5,1,115/13.8,15/20/25,6,8611,1981-01-01,115.0,13.8,0.0,15,20,25,0,0,True
W ALBION,West,Albion,0,2,2,1,34.5/13.8,3.75/4.63/5.25,4,975,2012-08-13,34.5,13.8,0.0,3.75,4.63,5.25,0,0,True
W ALBION,West,Albion,0,2,2,1,34.5/13.8,5.6,0,975,2012-08-13,34.5,13.8,0.0,5.6,0,0,0,0,True
WEST CLEVELAND,Central,Constantia,0,1,1,3,34.5/13.8,0.5,2,777,2011-03-10,34.5,13.8,0.0,0.5,0,0,0,0,True
W HAMLIN,West,Hamlin,2,0,4,1,115/13.8,20/26.7/33.3,6,7618,2008-06-05,115.0,13.8,0.0,20,26.7,33.3,0,0,True
WEST HERKIMER,Central,Herkimer,0,1,1,1,46/13.8,5/6.25/7,2,1708,1971-01-01,46.0,13.8,0.0,5,6.25,7,0,0,True
WEST MONROE,Central,West Monroe,0,1,1,1,34.5/13.8,5/6.25/7,2,2242,1969-01-01,34.5,13.8,0.0,5,6.25,7,0,0,True
W. OLEAN,West,Olean,2,0,5,1,113/13.8,13.44/17.92/22.4,7,7825,1971-09-22,113.0,13.8,0.0,13.44,17.92,22.4,0,0,True
W. OLEAN,West,Olean,2,0,5,1,115/13.8,15/20/25,0,7825,1971-09-22,115.0,13.8,0.0,15,20,25,0,0,True
PERRYSBURG,West,Perrysburg,0,1,1,1,34.4/5.04/13.,5,2,887,1993-01-01,34.4,5.04,13.0,5,0,0,0,0,True
WEST SALAMANCA,West,Salamanca,0,3,1,1,34.5/4.8,1.5,4,384,1977-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
WEST VALLEY,West,Ashford,0,2,2,1,34.5/4.8,2.5,4,1283,1997-01-01,34.5,4.8,0.0,2.5,0,0,0,0,True
WESTVALE,Central,Geddes,0,1,4,1,34.5/4.16,7.5,5,1818,2007-12-09,34.5,4.16,0.0,7.5,0,0,0,0,True
WESTVILLE,Central,Westville,0,1,1,3,34.5/4.8,1.25,2,997,2010-03-19,34.5,4.8,0.0,1.25,0,0,0,0,True
WETHERSFIELD STATION,West,Wethersfield,0,1,2,2,34.5/4.8,1,3,641,2002-01-01,34.5,4.8,0.0,1,0,0,0,0,True
WHITAKER,Central,Volney,1,0,4,1,115/13.8,20/26/33,5,5887,1977-01-01,115.0,13.8,0.0,20,26,33,0,0,True
WHITE LAKE SUBSTATION,Central,Forestport,0,1,1,3,46/4.8,0.5,2,1028,1958-01-01,46.0,4.8,0.0,0.5,0,0,0,0,True
WHITEHALL,West,Whitehall,0,0,0,1,115/13.8,7.5,0,2984,1974-09-01,115.0,13.8,0.0,7.5,0,0,0,0,True
WHITESBORO,Central,Whitestown,0,4,3,1,46/4.16,5/6.25,7,2208,1960-01-01,46.0,4.16,0.0,5,6.25,0,0,0,True
NEW WHITESVILLE,West,Independence,0,1,1,1,34.5/4.8,1.5,2,689,1993-01-01,34.5,4.8,0.0,1.5,0,0,0,0,True
WILTON,East,Wilton,0,2,2,1,34.5/13.8,10/12.5,4,3144,1990-01-01,34.5,13.8,0.0,10,12.5,0,0,0,True
WINE CREEK,Central,Oswego,2,0,4,1,115/13.8,12,6,5882,1981-01-01,115.0,13.8,0.0,12,0,0,0,0,True
WOLF RD.,East,Colonie,2,0,7,1,113/13.8,18/24/30/33.6,9,4185,1973-08-08,113.0,13.8,0.0,18,24,30,33.6,0,True
WOLF RD.,East,Colonie,2,0,7,1,115/13.8,18/24/30/33.6,0,4185,1973-08-08,115.0,13.8,0.0,18,24,30,33.6,0,True
WORCESTER,East,Worcester,0,1,1,1,23/13.8/4.8,4.4/6/7.5,2,1270,1993-01-01,23.0,13.8,4.8,4.4,6,7.5,0,0,True
YAHNUNDASIS (1&2),Central,New Hartford,3,5,5,1,115/13.8,18/24/30,13,5088,1968-09-06,115.0,13.8,0.0,18,24,30,0,0,True
YAHNUNDASIS (1&2),Central,New Hartford,3,5,5,1,115/46,20/26.7,0,5088,1968-09-06,115.0,46.0,0.0,20,26.7,0,0,0,True
YAHNUNDASIS (1&2),Central,New Hartford,3,5,5,1,115/46,21/28/35,0,5088,1968-09-06,115.0,46.0,0.0,21,28,35,0,0,True
YORK CENTER SUBSTATION,West,York,1,0,2,1,69/13.8,8.4/10.5,3,1854,1995-01-01,69.0,13.8,0.0,8.4,10.5,0,0,0,True
