,substation,x,y,dist_feeders
259,LASHER RD,-8229880.845,5308496.923,
260,HOPKINS,-8479540.717,5328654.857,2.0
261,SO. ROBERTS RD,-8829458.541,5233895.389,1.0
262,SHEPPARD STATION,-8689524.85,5293967.825,2.0
263,EAGLE HARBOR,-8711091.943,5348014.403,1.0
264,HEMLOCK,-8639353.726,5280674.133,1.0
265,GILBERT MILLS,-8487955.247,5358661.537,1.0
266,WINE CREEK,-8514549.554,5383344.469,
267,TRUXTON,-8463122.25,5268386.711,2.0
268,NORTH ASHFORD,-8760984.797,5232030.771,1.0
269,DELAMETER RD,-8794384.592,5260692.204,1.0
270,PERRYSBURG,-8799419.017,5238780.615,1.0
271,93 WILSON,-8774975.813,5356804.547,1.0
272,LAKE COLBY,-8251890.841,5520141.226,4.0
273,STATION 162,-8776992.536,5301204.077,2.0
274,146 WALDEN AVE,-8764529.732,5297838.426,2.0
275,STATION 46,-8774592.915,5286706.811,2.0
276,142 LEHIGH AVE,-8776313.759,5284718.262,2.0
277,STATION 11,-8775147.192,5283888.323,
278,38 SPRING,-8778474.749,5295328.143,1.0
279,PLEASANT,-8376882.263,5325272.032,1.0
280,LAWRENCE AVE,-8345688.286,5571086.159,2.0
281,STAR LAKE,-8348109.705,5491406.901,1.0
282,BALMAT,-8393241.451,5504564.66,1.0
283,SPRINGFIELD RD,-8469305.537,5319798.159,
284,HAGUE,-8175971.032,5441573.847,1.0
285,SCOFIELD,-8219654.564,5365933.367,1.0
286,PINEBUSH,-8224928.623,5266630.056,2.0
287,PARTRIDGE ST,-8212904.431,5261602.575,1.0
288,ONEIDA,-8419245.898,5327521.349,2.0
289,EAST MOLLOY RD,-8471333.292,5326744.474,1.0
290,HARRIS RD,-8485903.32,5314597.337,2.0
291,EAST GOLAH,-8648798.897,5304136.973,2.0
292,AKWESASNE,-8318283.249,5617402.428,2.0
293,EMMET,-8230314.865,5282432.814,2.0
294,BOMBAY E.S.,-8301677.262,5611908.527,1.0
295,FRENCH MOUNTAIN,-8203741.666,5368367.561,1.0
296,UNION ST,-8169746.394,5314584.746,1.0
297,HOOSICK,-8166109.932,5298600.525,2.0
298,MAYFIELD,-8267378.331,5328397.877,1.0
299,SCHUYLERVILLE,-8191109.582,5326752.909,1.0
300,BETHLEHEM,-8215371.55,5251699.363,3.0
301,HILL ST,-8276989.241,5317607.914,1.0
302,QUAIL HOLLOW,-8211605.734,5250646.877,1.0
303,MARKET HILL,-8258239.149,5305262.252,1.0
304,RICHMOND,-8630957.755,5280060.708,1.0
305,MIDDLEVILLE,-8345085.283,5333479.979,
306,SO. WASHINGTON ST,-8346888.311,5314840.654,1.0
307,NEW FRANKHAUSER  STATION,-8770508.482,5309143.317,
308,NEW 85 STEPHENSON AVE,-8791808.696,5324055.883,
309,55 ELECTRIC AVE,-8775212.073,5282414.915,1.0
310,SYCAWAY,-8198643.665,5272568.787,2.0
311,WHITESBORO,-8380478.652,5329869.579,
312,MOIRA,-8297690.254,5593823.017,1.0
313,HOMER,-8479887.672,5256855.543,2.0
314,122 SOMMER ST,-8781074.054,5317078.939,2.0
315,BREWERTON,-8476220.878,5347967.829,1.0
316,POMPEY,-8463637.847,5300181.793,1.0
317,PINE GROVE,-8471042.859,5334890.121,2.0
318,HANCOCK 2,-8473811.092,5327126.286,
319,PARK ST,-8476207.882,5321610.987,1.0
320,BARKER STATION,-8744460.802,5363531.432,1.0
321,N LEROY STATION,-8682049.572,5310198.265,1.0
322,CAVANAUGH,-8379214.612,5333521.449,1.0
323,NILES,-8509216.598,5289949.338,2.0
324,MILTON AVE,-8491559.456,5320001.498,1.0
325,NORTH EDEN,-8782153.609,5260879.04,1.0
326,140 MAPLE RD,-8766928.354,5310729.579,1.0
327,58 HARLEM RD,-8770068.659,5306638.932,3.0
328,STATION 47,-8786367.449,5307700.659,1.0
329,57 COLVIN,-8777886.559,5310118.937,1.0
330,89 RANSOMVILLE,-8783198.467,5347779.77,1.0
331,NORTH LAWRENCE,-8312914.658,5589573.759,1.0
332,GABRIELS,-8258262.277,5532533.177,1.0
333,FRANKLIN,-8234607.461,5533304.401,2.0
334,RIVERVIEW,-8224345.74,5556923.496,1.0
335,160 SUMMER ST,-8780369.915,5297447.548,2.0
336,203 STATION,-8781226.472,5295174.268,
337,48 GELSTON,-8782958.92,5299325.464,2.0
338,32 BAYILEY,-8773558.837,5300104.822,1.0
339,139 MARTIN RD,-8773151.361,5284005.433,1.0
340,27 JEWETT AVE,-8776491.704,5301977.674,1.0
341,35 WALDEN,-8775871.328,5297288.206,1.0
342,39 WILLIAM,-8776396.128,5294541.13,1.0
343,40 WILLIAM STA,-8773740.416,5294496.193,1.0
344,STATION 33,-8782111.022,5297554.993,1.0
345,CHADWICKS,-8378846.566,5317770.744,1.0
346,BRADY,-8366650.588,5588313.183,1.0
347,BRIER HILL,-8422708.166,5546304.937,1.0
348,OTTEN,-8174468.686,5411734.255,1.0
349,HENRY ST,-8198047.485,5358459.421,1.0
350,224 SWEET HOME,-8772217.398,5315734.043,2.0
351,MEXICO,-8485511.081,5382176.018,1.0
352,CONESUS LAKE,-8650954.12,5268583.259,1.0
353,LAKEVIEW,-8787777.431,5268126.267,1.0
354,211 AYER RD,-8762430.952,5311283.094,1.0
355,DELAWARE AVE,-8212654.324,5257726.612,2.0
356,BALLSTON,-8221926.852,5311799.022,2.0
357,PORTAGE ST,-8452010.989,5461171.432,1.0
358,UNIONVILLE,-8226074.227,5250930.539,1.0
359,SCOTIA,-8232603.57,5286741.404,2.0
360,SHORE RD,-8223833.383,5298382.841,1.0
361,POTTERSVILLE,-8217816.365,5423437.447,1.0
362,SCHROON LAKE,-8211565.34,5440389.695,1.0
363,WELLS,-8269430.925,5371312.244,
364,NASSAU,-8194431.635,5238457.384,1.0
365,DEXTER,-8465303.701,5465341.596,2.0
366,GILPIN BAY,-8276411.411,5509275.729,1.0
367,SCHUYLER,-8368034.166,5325543.227,2.0
368,FRANKFORT,-8355842.922,5317627.612,1.0
369,WATT ST,-8229156.216,5280028.843,
370,DORWIN,-8476821.412,5309489.368,1.0
371,OAKFIELD STATION,-8713907.629,5321538.084,2.0
372,CAMILLUS,-8494038.632,5318449.395,1.0
373,UNION,-8227955.882,5544796.072,1.0
374,TRINITY,-8210657.408,5257854.374,2.0
375,FAIRMOUNT,-8486654.335,5316602.171,
376,DELMAR,-8219216.671,5254917.447,2.0
377,CLINTON ERCC,-8303292.015,5296889.64,1.0
378,87 LEWISTON,-8798748.569,5338797.897,1.0
379,PHOENIX,-8493787.052,5347090.383,1.0
380,BOYNTONVILLE,-8175973.839,5287865.661,1.0
381,JOHNSON,-8209064.173,5276239.269,2.0
382,JEWETT,-8508693.884,5306881.951,1.0
383,PERRY ST,-8777288.226,5292306.748,
384,CLOVERBANK,-8782299.486,5273430.361,1.0
385,WESTMORELAND,-8393497.321,5327291.885,
386,BUTTERNUT,-8465236.128,5319489.789,1.0
387,RIDGE RD,-8445778.933,5310854.658,1.0
388,COURT ST,-8473966.638,5324686.623,
389,MINOA,-8461549.384,5322678.874,2.0
390,WETHERSFIELD STATION,-8710830.161,5264251.068,
391,SHELBY,-8723972.342,5344776.933,2.0
392,WATERPORT,-8709103.418,5361869.572,
393,LAKEVILLE,-8651250.065,5286795.01,1.0
394,CLEVELAND,-8447867.25,5348277.958,1.0
395,TULLER HILL,-8475796.591,5239303.228,1.0
396,LEVITT,-8401454.537,5346271.055,1.0
397,122 SOMMER ST,-8781113.837,5317063.641,2.0
398,129 BROMPTON,-8776237.93,5312231.199,2.0
399,77 EAST AVE,-8779835.372,5315069.503,1.0
400,170 NEWFANE,-8760381.97,5355210.315,1.0
401,206 TONAWANDA CREEK,-8772134.402,5320521.443,2.0
402,BREMEN,-8392433.904,5447140.956,1.0
403,29 POTOMAC,-8781646.243,5300381.141,1.0
404,52 HERTEL,-8780509.885,5304067.292,2.0
405,34 BEST ST,-8777758.902,5297316.813,2.0
406,43 SENECA ST,-8773981.301,5291001.063,2.0
407,DEERFIELD,-8372921.658,5333948.558,2.0
408,STJOES,-8352434.595,5544605.949,
409,LISBON E.S.,-8384767.064,5578335.538,1.0
410,MIDLER,-8471016.041,5324804.795,1.0
411,CHURCH ST,-8257147.349,5302460.45,2.0
412,SCHODACK,-8205844.584,5243547.038,1.0
413,JUNIPER,-8220841.385,5252104.206,1.0
414,WESTVALE,-8485240.759,5319400.728,
415,TEMPLE ST,-8477262.592,5318033.813,2.0
416,BROOK RD,-8219098.064,5324550.495,2.0
417,SOUTH ST,-8214614.314,5323156.573,1.0
418,PERRYVILLE,-8441095.53,5313733.422,1.0
419,LIGHTHOUSE HILL,-8457113.794,5391963.209,1.0
420,E.J. WEST HYDRO,-8228717.502,5360512.348,1.0
421,PORT LEYDEN,-8388018.195,5400411.734,1.0
422,NORTH CREEK,-8234501.171,5416343.71,2.0
423,GREENBUSH,-8205897.468,5252159.948,3.0
424,JOHNSTOWN,-8279480.966,5314285.296,2.0
425,NORTH TROY,-8197258.281,5279617.765,3.0
426,OATHOUT,-8212800.41,5272223.951,1.0
427,ALDER CREEK,-8374086.858,5376291.216,2.0
428,REYNOLDS RD,-8202848.771,5262285.536,3.0
429,INGHAMS,-8322644.163,5321156.643,3.0
430,127 DELAWARE RD,-8779274.116,5308359.039,2.0
431,36 SUMNER PL,-8773228.098,5297053.417,1.0
432,TERMINA,-8374163.076,5329018.379,2.0
433,NORTHVILLE,-8258562.466,5346797.989,2.0
434,LANSINGBURGH,-8201785.623,5276049.706,2.0
435,YAHNUNDASIS,-8386161.367,5325533.617,
436,PORTABLE SUB,-8711130.725,5347968.225,
437,SOUTHLAND,-8744096.278,5362441.404,1.0
438,PEAT ST,-8473403.671,5319845.953,1.0
439,BRIDGE ST,-8468215.967,5320424.655,1.0
440,FLY RD,-8466678.783,5324986.591,1.0
441,SOUTHWOOD,-8469616.694,5310731.511,1.0
442,HANCOCK,-8473701.451,5327102.802,2.0
443,BALLINA,-8442544.924,5298051.936,1.0
444,37 HUDSON AVE,-8781348.909,5296445.093,1.0
445,CORFU STATION,-8728173.596,5306351.738,1.0
446,W ALBION,-8707913.714,5348607.188,
447,LIVINGSTON COUNTY CORRECTIONALNAL,-8663661.249,5263892.904,1.0
448,GROVELAND,-8656856.603,5260932.648,1.0
449,MUMFORD,-8667076.816,5310205.352,1.0
450,LAKE RD,-8506021.103,5390809.16,1.0
451,EAST PULASKI,-8471857.167,5395580.731,1.0
452,WEST MONROE,-8467988.467,5354240.221,
453,CONSTANTIA,-8460394.954,5350247.518,1.0
454,STILES,-8490649.679,5329686.18,2.0
455,TULLY CENTER,-8472617.22,5280148.136,1.0
456,STATION 64,-8788709.022,5315457.061,2.0
457,STATION 208,-8782936.517,5306783.232,2.0
458,54 MAIN,-8767849.115,5305941.134,2.0
459,79 RIDGE ST,-8780422.674,5319272.129,1.0
460,STATION 61,-8768574.543,5302854.839,2.0
461,STATION 67,-8762358.564,5306743.969,1.0
462,130 NIAGARA FALLS BLVD,-8774372.175,5313321.435,1.0
463,BENNETT RD,-8830122.762,5232302.713,2.0
464,RAYBROOK ES,-8246852.749,5512209.064,1.0
465,PAUL SMITHS,-8264492.981,5532224.44,1.0
466,MALONE,-8270186.233,5594659.272,3.0
467,PARISHVILLE,-8329508.186,5563507.261,1.0
468,85 STEPHENSON AVE,-8791846.427,5324062.534,1.0
469,53 BAYILEY,-8773533.56,5303187.974,1.0
470,213 DALE RD,-8768409.434,5297288.734,1.0
471,30 SPILLMAN,-8778145.51,5300082.641,2.0
472,44 SOUTH PARK,-8774578.674,5288641.674,3.0
473,205 ERIE DRIVE,-8781480.575,5294483.584,1.0
474,51 ELK ST,-8775426.31,5291595.783,1.0
475,31 STATION,-8776481.049,5300134.23,
476,WEST ADAMS,-8468371.442,5437496.311,
477,SUNDAY CREEK,-8364103.552,5445582.169,1.0
478,MCBRIDE,-8476311.856,5317726.851,
479,MCKOWNVILLE,-8220153.21,5264001.982,2.0
480,WOLF RD,-8215674.865,5269365.612,
481,FIREHOUSE,-8209990.597,5285093.622,1.0
482,NEWARK ST,-8204701.607,5276667.436,1.0
483,DEPOT RD,-8233598.026,5263833.592,
484,COLOSSE,-8478088.99,5376709.09,1.0
485,LORDS HILL,-8484868.331,5298248.9,1.0
486,SEWALL'S ISLAND,-8448582.565,5461991.091,1.0
487,WILTON,-8209916.365,5339732.622,
488,SAND RD 2,-8476035.777,5328625.687,
489,CORLISS PARK,-8200604.529,5279689.537,1.0
490,FORT GAGE,-8205496.579,5374364.375,1.0
491,CHESTERTOWN,-8216354.077,5411826.682,1.0
492,ASHLEY,-8181728.316,5376195.223,1.0
493,COLVIN AVE,-8214649.8,5263392.184,1.0
494,COMMERCE AVE,-8212766.27,5262823.328,1.0
495,RIVERSIDE,-8208688.694,5260620.514,3.0
496,QUEENSBURY,-8200297.605,5363074.715,3.0
497,RIPARIUS,-8226679.292,5413574.159,1.0
498,WEAVER ST,-8232048.168,5282408.82,
499,WORCESTER,-8321459.995,5250814.644,
500,SEVENTH AVE,-8202169.75,5273416.713,1.0
501,SALISBURY ES,-8331729.518,5322000.294,2.0
502,OLD FORGE,-8346735.766,5419676.592,2.0
503,STITTVILLE,-8377769.481,5344094.53,1.0
504,WEST HERKIMER,-8348498.025,5315072.611,
505,LYNN,-8233847.162,5278654.915,1.0
506,BRUNSWICK,-8190566.182,5271541.231,1.0
507,2738 LARKINVILLE,-8777228.999,5292244.358,
508,ROCK CUT,-8475267.409,5313653.415,1.0
509,106 GIBSON,-8796433.284,5329902.536,
510,NEWTONVILLE,-8211234.441,5271637.723,2.0
511,WETZEL RD,-8481465.563,5335041.398,
512,ROTTERDAM,-8237362.423,5285953.634,6.0
513,PROSPECT HILL,-8202002.536,5282112.203,1.0
514,NORTH BOMBAY,-8307552.155,5612723.877,1.0
515,POLAND CRCC,-8355974.345,5346256.278,
516,DELPHI,-8448192.92,5288648.42,1.0
517,MAPLE AVE,-8258245.11,5309672.487,
